symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_5m_atr_momentum,gate_vwap_extension,gate_consolidation_coil,gate_volume_ignition,naive_baseline_fired,data_source_flags
SWANCORP,2026-04-16 10:15:00 IST,BEAR,2026-04-16 10:20:00 IST,352.8,309.51,439.37,439.38,461.03,482.67,2026-04-16 15:20:00 IST,323.32,HORIZON_REACHED,-0.681,20,75.0,True,True,True,True,True,NONE
HOMEFIRST,2026-07-13 10:15:00 IST,BULL,2026-07-13 10:20:00 IST,1261.0,1177.74,1427.52,1427.52,1469.15,1510.78,2026-07-13 15:20:00 IST,1177.74,SL_HIT,-1.0,8,75.0,True,True,True,True,True,NONE
NTPCGREEN,2026-04-13 10:15:00 IST,BULL,2026-04-13 10:20:00 IST,104.23,95.42,121.85,121.85,126.26,130.66,2026-04-13 15:20:00 IST,107.17,HORIZON_REACHED,0.334,20,75.0,True,True,True,True,True,NONE
KALYANKJIL,2025-11-04 10:15:00 IST,SIDEWAYS,2025-11-04 10:20:00 IST,522.6,500.45,566.9,566.9,577.98,589.05,2025-11-04 15:20:00 IST,500.45,SL_HIT,-1.0,4,75.0,True,True,True,True,True,NONE
KALYANKJIL,2026-05-08 10:15:00 IST,BEAR,2026-05-08 10:20:00 IST,424.55,404.43,464.78,464.79,474.85,484.91,2026-05-08 15:20:00 IST,404.43,SL_HIT,-1.0,1,75.0,True,True,True,True,True,NONE
PSUBNKIETF.NS,2026-07-20 10:15:00 IST,SIDEWAYS,2026-07-20 10:20:00 IST,87.3,83.93,94.04,94.04,95.72,97.41,2026-07-20 15:20:00 IST,83.93,SL_HIT,-1.0,4,75.0,True,True,True,True,True,NONE
VMARCIND,2026-05-11 10:15:00 IST,BULL,2026-05-11 10:20:00 IST,1133.6,919.98,1560.83,1560.84,1667.65,1774.46,2026-05-11 15:20:00 IST,1560.84,T1_HIT,2.0,18,75.0,True,True,True,True,True,NONE
GHCL,2026-06-05 10:15:00 IST,BULL,2026-06-05 10:20:00 IST,844.09,817.88,896.52,896.51,909.62,922.72,2026-06-05 15:20:00 IST,817.88,SL_HIT,-1.0,2,75.0,True,True,True,True,True,NONE
GHCL,2026-07-24 10:15:00 IST,BULL,2026-07-24 10:20:00 IST,897.49,861.77,968.92,968.93,986.79,1004.65,2026-07-24 15:20:00 IST,968.93,T1_HIT,2.0,10,75.0,True,True,True,True,True,NONE
DOMS,2025-12-03 10:15:00 IST,BULL,2025-12-03 10:20:00 IST,2609.0,2475.43,2876.15,2876.14,2942.93,3009.71,2025-12-03 15:20:00 IST,2601.79,HORIZON_REACHED,-0.054,20,75.0,True,True,True,True,True,NONE
ITETF.NS,2026-05-29 10:15:00 IST,BEAR,2026-05-29 10:20:00 IST,30.89,30.3,32.06,32.07,32.37,32.66,2026-05-29 15:20:00 IST,30.3,SL_HIT,-1.0,1,75.0,True,True,True,True,True,NONE
AUBANK,2025-10-20 10:15:00 IST,BULL,2025-10-20 10:20:00 IST,865.2,758.73,1078.15,1078.14,1131.38,1184.61,2025-10-20 15:20:00 IST,925.67,HORIZON_REACHED,0.568,20,75.0,True,True,True,True,True,NONE
AUBANK,2025-12-10 10:15:00 IST,BULL,2025-12-10 10:20:00 IST,993.7,936.58,1107.94,1107.94,1136.5,1165.06,2025-12-10 15:20:00 IST,992.1,HORIZON_REACHED,-0.028,20,75.0,True,True,True,True,True,NONE
AUBANK,2026-06-12 10:15:00 IST,BULL,2026-06-12 10:20:00 IST,1015.5,944.59,1157.32,1157.32,1192.77,1228.23,2026-06-12 15:20:00 IST,1072.09,HORIZON_REACHED,0.798,20,75.0,True,True,True,True,True,NONE
HCC,2025-11-21 10:15:00 IST,BEAR,2025-11-21 10:20:00 IST,909.53,886.66,955.27,955.27,966.7,978.14,2025-11-21 15:20:00 IST,886.66,SL_HIT,-1.0,2,75.0,True,True,True,True,True,NONE
VIJAYA,2026-04-27 10:15:00 IST,BULL,2026-04-27 10:20:00 IST,1112.05,994.12,1347.92,1347.91,1406.87,1465.84,2026-04-27 15:20:00 IST,1347.91,T1_HIT,2.0,10,75.0,True,True,True,True,True,NONE
VIJAYA,2026-05-04 10:15:00 IST,BULL,2026-05-04 10:20:00 IST,1153.8,1062.15,1337.09,1337.1,1382.92,1428.75,2026-05-04 15:20:00 IST,1337.1,T1_HIT,2.0,5,75.0,True,True,True,True,True,NONE
GOLDIAM,2025-09-01 10:15:00 IST,SIDEWAYS,2025-09-01 10:20:00 IST,375.36,335.08,455.91,455.92,476.06,496.2,2025-09-01 15:20:00 IST,367.1,HORIZON_REACHED,-0.205,20,75.0,True,True,True,True,True,NONE
GOLDIAM,2025-11-13 10:15:00 IST,BULL,2025-11-13 10:20:00 IST,387.31,346.22,469.5,469.49,490.03,510.58,2025-11-13 15:20:00 IST,369.81,HORIZON_REACHED,-0.426,20,75.0,True,True,True,True,True,NONE
ZENTEC,2026-03-27 10:15:00 IST,BULL,2026-03-27 10:20:00 IST,839.76,823.94,871.42,871.4,879.31,887.22,2026-03-27 15:20:00 IST,823.94,SL_HIT,-1.0,2,75.0,True,True,True,True,True,NONE
LINDEINDIA,2025-11-19 10:15:00 IST,SIDEWAYS,2025-11-19 10:20:00 IST,6076.5,5659.81,6909.88,6909.88,7118.22,7326.57,2025-11-19 15:20:00 IST,6003.58,HORIZON_REACHED,-0.175,20,75.0,True,True,True,True,True,NONE
LINDEINDIA,2026-02-09 10:15:00 IST,BULL,2026-02-09 10:20:00 IST,6292.5,5805.5,7266.51,7266.5,7510.0,7753.5,2026-02-09 15:20:00 IST,6643.63,HORIZON_REACHED,0.721,20,75.0,True,True,True,True,True,NONE
LINDEINDIA,2026-03-17 10:15:00 IST,BULL,2026-03-17 10:20:00 IST,7327.0,6579.54,8821.93,8821.92,9195.65,9569.38,2026-03-17 15:20:00 IST,6579.54,SL_HIT,-1.0,4,75.0,True,True,True,True,True,NONE
LINDEINDIA,2026-08-03 10:15:00 IST,BULL,2026-08-03 10:20:00 IST,6968.68,6594.04,7717.97,7717.96,7905.28,8092.6,2026-08-03 15:20:00 IST,6594.04,SL_HIT,-1.0,10,75.0,True,True,True,True,True,NONE
CEMPRO,2026-06-05 10:15:00 IST,BULL,2026-06-05 10:20:00 IST,1063.24,1032.29,1125.12,1125.14,1140.62,1156.09,2026-06-05 15:20:00 IST,1032.29,SL_HIT,-1.0,2,75.0,True,True,True,True,True,NONE
CEMPRO,2026-06-26 10:15:00 IST,BULL,2026-06-26 10:20:00 IST,1172.33,1142.55,1231.9,1231.89,1246.78,1261.67,2026-06-26 15:20:00 IST,1231.89,T1_HIT,2.0,8,75.0,True,True,True,True,True,NONE
CANHLIFE,2026-01-23 10:15:00 IST,BULL,2026-01-23 10:20:00 IST,1410.04,1377.04,1476.05,1476.04,1492.54,1509.04,2026-01-23 15:20:00 IST,1476.04,T1_HIT,2.0,15,75.0,True,True,True,True,True,NONE
GODREJPROP,2026-06-25 10:15:00 IST,SIDEWAYS,2026-06-25 10:20:00 IST,1841.7,1765.01,1995.08,1995.08,2033.43,2071.77,2026-06-25 15:20:00 IST,1995.08,T1_HIT,2.0,7,75.0,True,True,True,True,True,NONE
RITES,2026-04-17 10:15:00 IST,SIDEWAYS,2026-04-17 10:20:00 IST,221.95,198.28,269.29,269.29,281.12,292.96,2026-04-17 15:20:00 IST,211.2,HORIZON_REACHED,-0.454,20,75.0,True,True,True,True,True,NONE
RITES,2026-06-05 10:15:00 IST,BEAR,2026-06-05 10:20:00 IST,210.49,197.81,235.84,235.85,242.19,248.53,2026-06-05 15:20:00 IST,235.85,T1_HIT,2.0,18,75.0,True,True,True,True,True,NONE
