scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_1h_trend,gate_30m_squeeze,gate_15m_thrust,gate_diurnal_rvol,naive_baseline_fired,data_source_flags
MULTI_TF,ATULAUTO,400 IST,SIDEWAYS,400 IST,446.0,442.43,451.35,453.14,454.92,456.7,406 IST,445.8,SESSION_CLOSE,-0.0561,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,SOTL,408 IST,SIDEWAYS,408 IST,706.0,700.35,714.47,717.3,720.12,722.94,410 IST,717.3,TARGET,2.0,2,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,FSL,148 IST,SIDEWAYS,148 IST,269.95,267.79,273.19,274.27,275.35,276.43,150 IST,267.79,STOP_LOSS,-1.0,2,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,DATAPATTNS,428 IST,SIDEWAYS,428 IST,4589.7,4552.98,4644.78,4663.14,4681.49,4699.85,434 IST,4552.98,STOP_LOSS,-1.0,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,SSWL,400 IST,SIDEWAYS,400 IST,357.0,354.14,361.28,362.71,364.14,365.57,403 IST,362.71,TARGET,2.0,3,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,QPOWER,400 IST,BULL,400 IST,1520.2,1508.04,1538.44,1544.52,1550.6,1556.68,401 IST,1508.04,STOP_LOSS,-1.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,GODREJAGRO,248 IST,SIDEWAYS,248 IST,674.05,668.66,682.14,684.83,687.53,690.23,250 IST,668.66,STOP_LOSS,-1.0,2,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,BAJAJCON,100 IST,SIDEWAYS,100 IST,484.0,480.13,489.81,491.74,493.68,495.62,101 IST,480.13,STOP_LOSS,-1.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,INDOBORAX,200 IST,SIDEWAYS,200 IST,523.4,519.21,529.68,531.77,533.87,535.96,201 IST,531.77,TARGET,2.0,1,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
MULTI_TF,DIVISLAB,400 IST,SIDEWAYS,400 IST,9394.0,9318.85,9506.73,9544.3,9581.88,9619.46,406 IST,9369.5,SESSION_CLOSE,-0.326,6,79.0,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
