Synthetic_Score,92.0
Outcome,CONFIRMED_IGNITION
Reasons,High CLV Top Close (0.90);Strong Excess OI Unwind (-10.00%);High 5m Volume Spike (3.6x);Clean VWAP acceleration;30m Structural Breakout (+15);Extension from Open Penalty (-8.0 pts)
