symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,exit_reason,holding_period_bars
ALKEM,MULTIBAGGER_CHAMPION_V1,2025-11-04,DEV,BULL,5618.7,5419.74,6414.57,-1.0,SL_HIT,38
NEOGEN,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-02-26,VAL,BULL,1450.5,1327.4,1942.89,-1.0,SL_HIT,3
NEOGEN,MULTIBAGGER_CHAMPION_V1,2026-02-26,VAL,BULL,1450.5,1327.4,1942.89,-1.0,SL_HIT,3
NEOGEN,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-07-16,HOLDOUT,BULL,2320.28,2128.1,3088.99,-1.0,SL_HIT,2
NEOGEN,MULTIBAGGER_CHAMPION_V1,2026-07-16,HOLDOUT,BULL,2320.28,2128.1,3088.99,-1.0,SL_HIT,2
CUPID,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-10-24,DEV,BULL,2150.61,2111.65,2306.47,-1.0,SL_HIT,1
CUPID,MULTIBAGGER_CHAMPION_V1,2025-10-24,DEV,BULL,2150.61,2111.65,2306.47,-1.0,SL_HIT,1
CUPID,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-11-21,DEV,BULL,2195.02,2159.72,2336.22,4.0,T1_HIT,28
CUPID,MULTIBAGGER_CHAMPION_V1,2025-11-21,DEV,BULL,2195.02,2159.72,2336.22,4.0,T1_HIT,28
PNGJL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-03-27,VAL,BULL,1003.54,989.75,1058.69,-1.0,SL_HIT,5
PNGJL,MULTIBAGGER_CHAMPION_V1,2026-03-27,VAL,BULL,1003.54,989.75,1058.69,-1.0,SL_HIT,5
AGIIL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-04-09,VAL,BULL,361.7,316.81,541.24,0.345,HORIZON_REACHED,40
AGIIL,MULTIBAGGER_CHAMPION_V1,2026-04-09,VAL,BULL,361.7,316.81,541.24,0.345,HORIZON_REACHED,40
ASTRAL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-08-01,DEV,BULL,794.5,783.22,839.62,-1.0,SL_HIT,1
ASTRAL,MULTIBAGGER_CHAMPION_V1,2025-08-01,DEV,BULL,794.5,783.22,839.62,-1.0,SL_HIT,1
REDTAPE,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-12-12,DEV,BULL,1243.41,1225.58,1314.74,-1.0,SL_HIT,2
REDTAPE,MULTIBAGGER_CHAMPION_V1,2025-12-12,DEV,BULL,1243.41,1225.58,1314.74,-1.0,SL_HIT,2
STYLAMIND,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-05-07,VAL,BULL,2634.8,2550.47,2972.11,-1.0,SL_HIT,1
STYLAMIND,MULTIBAGGER_CHAMPION_V1,2026-05-07,VAL,BULL,2634.8,2550.47,2972.11,-1.0,SL_HIT,1
^CNXINFRA,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-10-29,DEV,BULL,9661.85,9493.06,10337.02,-1.0,SL_HIT,5
^CNXINFRA,MULTIBAGGER_CHAMPION_V1,2025-10-29,DEV,BULL,9661.85,9493.06,10337.02,-1.0,SL_HIT,5
SAILIFE,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-09-19,DEV,BULL,857.62,840.63,925.55,4.0,T1_HIT,20
SAILIFE,MULTIBAGGER_CHAMPION_V1,2025-09-19,DEV,BULL,857.62,840.63,925.55,4.0,T1_HIT,20
SAILIFE,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-06-19,HOLDOUT,BULL,1091.41,1073.8,1161.86,-1.0,SL_HIT,12
SAILIFE,MULTIBAGGER_CHAMPION_V1,2026-06-19,HOLDOUT,BULL,1091.41,1073.8,1161.86,-1.0,SL_HIT,12
NAM-INDIA,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-04-17,VAL,BULL,1004.09,929.08,1304.13,0.977,HORIZON_REACHED,40
NAM-INDIA,MULTIBAGGER_CHAMPION_V1,2026-04-17,VAL,BULL,1004.09,929.08,1304.13,0.977,HORIZON_REACHED,40
VTL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-08-22,DEV,BULL,2057.39,2026.76,2179.91,4.0,T1_HIT,13
VTL,MULTIBAGGER_CHAMPION_V1,2025-08-22,DEV,BULL,2057.39,2026.76,2179.91,4.0,T1_HIT,13
VTL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-11-21,DEV,BULL,2657.03,2617.31,2815.92,4.0,T1_HIT,22
VTL,MULTIBAGGER_CHAMPION_V1,2025-11-21,DEV,BULL,2657.03,2617.31,2815.92,4.0,T1_HIT,22
MANAPPURAM,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-01-07,VAL,BULL,317.94,300.22,388.82,-1.0,SL_HIT,2
MANAPPURAM,MULTIBAGGER_CHAMPION_V1,2026-01-07,VAL,BULL,317.94,300.22,388.82,-1.0,SL_HIT,2
SBCL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-02-09,VAL,BULL,514.03,469.17,693.45,-1.0,SL_HIT,12
SBCL,MULTIBAGGER_CHAMPION_V1,2026-02-09,VAL,BULL,514.03,469.17,693.45,-1.0,SL_HIT,12
SBCL,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-04-27,VAL,BULL,639.5,575.21,896.64,-1.0,SL_HIT,12
SBCL,MULTIBAGGER_CHAMPION_V1,2026-04-27,VAL,BULL,639.5,575.21,896.64,-1.0,SL_HIT,12
INDUSTOWER,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-11-04,DEV,BULL,392.55,372.39,473.18,2.146,HORIZON_REACHED,40
INDUSTOWER,MULTIBAGGER_CHAMPION_V1,2025-11-04,DEV,BULL,392.55,372.39,473.18,2.146,HORIZON_REACHED,40
INDUSTOWER,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-01-01,VAL,BULL,435.8,415.0,519.0,-1.0,SL_HIT,13
INDUSTOWER,MULTIBAGGER_CHAMPION_V1,2026-01-01,VAL,BULL,435.8,415.0,519.0,-1.0,SL_HIT,13
APOLLOTYRE,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-11-14,DEV,BULL,1037.09,1018.49,1111.5,4.0,T1_HIT,27
APOLLOTYRE,MULTIBAGGER_CHAMPION_V1,2025-11-14,DEV,BULL,1037.09,1018.49,1111.5,4.0,T1_HIT,27
GLAND,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-05-18,VAL,BULL,2156.6,2019.49,2705.06,2.222,HORIZON_REACHED,40
GLAND,MULTIBAGGER_CHAMPION_V1,2026-05-18,VAL,BULL,2156.6,2019.49,2705.06,2.222,HORIZON_REACHED,40
TIPSMUSIC,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-04-24,VAL,BULL,665.15,614.31,868.49,-0.239,HORIZON_REACHED,40
TIPSMUSIC,MULTIBAGGER_CHAMPION_V1,2026-04-24,VAL,BULL,665.15,614.31,868.49,-0.239,HORIZON_REACHED,40
BSE,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2025-11-12,DEV,BULL,2768.11,2592.17,3471.85,-1.0,SL_HIT,20
BSE,MULTIBAGGER_CHAMPION_V1,2025-11-12,DEV,BULL,2768.11,2592.17,3471.85,-1.0,SL_HIT,20
SIGACHI,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-06-24,HOLDOUT,BEAR,25.3,23.8,31.29,-1.0,SL_HIT,5
SIGACHI,MULTIBAGGER_CHAMPION_V1,2026-06-24,HOLDOUT,BEAR,25.3,23.8,31.29,-1.0,SL_HIT,5
PRESTIGE,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-07-02,HOLDOUT,BULL,1672.0,1579.7,2041.19,-1.0,SL_HIT,16
PRESTIGE,MULTIBAGGER_CHAMPION_V1,2026-07-02,HOLDOUT,BULL,1672.0,1579.7,2041.19,-1.0,SL_HIT,16
UNITDSPR,MULTIBAGGER_CHALL_A_CONVEX_CATALYST,2026-07-24,HOLDOUT,BULL,1467.2,1402.78,1724.89,0.121,HORIZON_REACHED,30
