variant_id,partition,n,win_pct,er,pf,ci_low,ci_high,max_dd_r,avg_win,avg_loss,avg_bars,pct_5r,pct_3r,max_r,bear_er,neut_er,bull_er,bear_n,neut_n,bull_n
MBAG_V57_SCALE_C_60D_HYBRID_STOP,DEV,162,37.7,0.84,2.37,0.459,1.26,10.55,3.87,-0.99,20.5,22.2,25.9,5.0,N/A,+2.000R,+0.826R,0,2,160
MBAG_V57_SCALE_C_60D_HYBRID_STOP,VAL,619,32.1,0.36,1.54,0.196,0.52,23.92,3.19,-0.98,20.0,11.8,17.3,5.0,N/A,+0.868R,+0.343R,0,20,599
MBAG_V57_SCALE_C_60D_HYBRID_STOP,HOLDOUT,508,38.4,,1.64,,,,2.42,-0.92,18.0,10.0,13.2,,N/A,-0.419R,+nanR,0,28,480
MBAG_V57_SCALE_A_60D_165V,DEV,96,62.5,0.511,2.79,0.259,0.778,3.0,1.27,-0.76,39.8,2.1,3.1,5.0,N/A,+1.343R,+0.494R,0,2,94
MBAG_V57_SCALE_A_60D_165V,VAL,121,50.4,0.171,1.39,-0.055,0.399,7.66,1.2,-0.88,34.4,0.0,3.3,3.76,N/A,+1.512R,+0.137R,0,3,118
MBAG_V57_SCALE_A_60D_165V,HOLDOUT,89,43.8,0.468,1.97,0.066,0.886,6.98,2.17,-0.86,24.5,9.0,14.6,5.0,N/A,+0.812R,+0.448R,0,5,84
MBAG_V57_SCALE_B_75D_180V,DEV,52,57.7,0.614,2.93,0.218,1.014,3.0,1.62,-0.75,42.2,1.9,7.7,5.0,N/A,N/A,+0.614R,0,0,52
MBAG_V57_SCALE_B_75D_180V,VAL,69,43.5,-0.017,0.97,-0.281,0.273,11.19,1.13,-0.9,34.6,0.0,2.9,3.97,N/A,N/A,-0.017R,0,0,69
MBAG_V57_SCALE_B_75D_180V,HOLDOUT,55,45.5,0.669,2.56,0.167,1.241,5.55,2.42,-0.79,24.5,12.7,14.5,5.0,N/A,+2.140R,+0.584R,0,3,52
MBAG_V57_SCALE_D_60D_45R,DEV,54,64.8,0.528,3.04,0.202,0.854,2.33,1.22,-0.74,35.0,1.9,3.7,4.5,N/A,+1.930R,+0.502R,0,1,53
MBAG_V57_SCALE_D_60D_45R,VAL,80,40.0,-0.016,0.97,-0.246,0.235,7.5,1.14,-0.78,29.6,0.0,1.2,3.38,N/A,+1.788R,-0.062R,0,2,78
MBAG_V57_SCALE_D_60D_45R,HOLDOUT,57,47.4,0.66,2.72,0.187,1.135,4.09,2.2,-0.73,21.9,10.5,14.0,4.5,N/A,+1.226R,+0.617R,0,4,53
MBAG_V57_SCALE_E_60D_55R,DEV,96,55.2,0.501,2.55,0.239,0.794,3.6,1.49,-0.72,43.5,2.1,5.2,5.5,N/A,+1.168R,+0.487R,0,2,94
MBAG_V57_SCALE_E_60D_55R,VAL,121,47.9,0.154,1.35,-0.07,0.38,7.11,1.25,-0.85,37.3,0.8,4.1,4.54,N/A,+1.184R,+0.128R,0,3,118
MBAG_V57_SCALE_E_60D_55R,HOLDOUT,89,41.6,0.457,1.9,0.075,0.894,8.01,2.32,-0.87,25.3,10.1,12.4,5.5,N/A,+1.059R,+0.421R,0,5,84
MBAG_V57_SCALE_F_MULTI_REG,DEV,68,58.8,0.549,2.77,0.238,0.88,3.0,1.46,-0.75,38.8,1.5,2.9,5.0,N/A,+1.343R,+0.525R,0,2,66
MBAG_V57_SCALE_F_MULTI_REG,VAL,90,44.4,-0.02,0.96,-0.25,0.241,11.44,1.08,-0.9,32.1,0.0,2.2,3.67,N/A,+0.865R,-0.040R,0,2,88
MBAG_V57_SCALE_F_MULTI_REG,HOLDOUT,67,43.3,0.53,2.14,0.098,1.003,4.55,2.3,-0.82,23.9,9.0,14.9,5.0,N/A,+0.812R,+0.508R,0,5,62
