symbol,variant_id,date,partition,regime,entry_price,stop_loss,target_price,risk,target_r,r_multiple,outcome_type,bars_held
ACI,MBAG_V57_SCALE_A_60D_165V,2026-08-10,HOLDOUT,BULL,1951.9187296094549,1856.19,2430.56,95.73,5.0,-1.0,SL_HIT,7
ACI,MBAG_V57_SCALE_B_75D_180V,2026-08-10,HOLDOUT,BULL,1951.9187296094549,1856.19,2430.56,95.73,5.0,-1.0,SL_HIT,7
ACI,MBAG_V57_SCALE_D_60D_45R,2026-08-10,HOLDOUT,BULL,1951.9187296094549,1856.19,2382.7,95.73,4.5,-1.0,SL_HIT,7
ACI,MBAG_V57_SCALE_E_60D_55R,2026-08-10,HOLDOUT,BULL,1951.9187296094549,1856.19,2478.43,95.73,5.5,-1.0,SL_HIT,7
ACI,MBAG_V57_SCALE_F_MULTI_REG,2026-08-10,HOLDOUT,BULL,1951.9187296094549,1856.19,2430.56,95.73,5.0,-1.0,SL_HIT,7
ACMESOLAR,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-03-13,VAL,BULL,255.61000061035156,236.64,350.46,18.97,5.0,-1.0,SL_HIT,6
ACMESOLAR,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-06-02,HOLDOUT,BULL,334.75,312.66,445.2,22.09,5.0,2.1231,EXPIRED_POS,45
ACMESOLAR,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-06-05,HOLDOUT,BULL,356.6499938964844,331.03,484.75,25.62,5.0,-1.0,SL_HIT,8
ACUTAAS,MBAG_V57_SCALE_A_60D_165V,2026-04-22,VAL,BULL,2979.480127393347,2749.68,4128.48,229.8,5.0,-1.0,SL_HIT,13
ACUTAAS,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-22,VAL,BULL,2979.480127393347,2910.12,3326.28,69.36,5.0,-1.0,SL_HIT,2
ACUTAAS,MBAG_V57_SCALE_E_60D_55R,2026-04-22,VAL,BULL,2979.480127393347,2749.68,4243.38,229.8,5.5,-1.0,SL_HIT,13
ACUTAAS,MBAG_V57_SCALE_F_MULTI_REG,2026-04-22,VAL,BULL,2979.480127393347,2749.68,4128.48,229.8,5.0,-1.0,SL_HIT,13
ACUTAAS,MBAG_V57_SCALE_A_60D_165V,2026-08-14,HOLDOUT,BULL,2813.4484093489987,2548.29,4139.24,265.16,5.0,1.339,EXPIRED_POS,17
ACUTAAS,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-08-14,HOLDOUT,BULL,2813.4484093489987,2735.98,3200.79,77.47,5.0,5.0,TARGET_HIT,3
ACUTAAS,MBAG_V57_SCALE_D_60D_45R,2026-08-14,HOLDOUT,BULL,2813.4484093489987,2548.29,4006.66,265.16,4.5,1.339,EXPIRED_POS,17
ACUTAAS,MBAG_V57_SCALE_E_60D_55R,2026-08-14,HOLDOUT,BULL,2813.4484093489987,2548.29,4271.82,265.16,5.5,1.339,EXPIRED_POS,17
ACUTAAS,MBAG_V57_SCALE_F_MULTI_REG,2026-08-14,HOLDOUT,BULL,2813.4484093489987,2548.29,4139.24,265.16,5.0,1.339,EXPIRED_POS,17
ADANIENSOL,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-08,VAL,BULL,1073.300048828125,989.17,1493.95,84.13,5.0,5.0,TARGET_HIT,34
ADANIENSOL,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-10,VAL,BULL,1157.9000244140625,1069.47,1600.05,88.43,5.0,5.0,TARGET_HIT,40
ADANIENSOL,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-17,VAL,BULL,1259.800048828125,1167.98,1718.9,91.82,5.0,2.6966,EXPIRED_POS,45
ADANIENSOL,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-22,VAL,BULL,1368.0999755859375,1263.82,1889.5,104.28,5.0,-1.0,SL_HIT,14
ADANIENSOL,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-24,VAL,BULL,1411.949951171875,1295.79,1992.75,116.16,5.0,-1.0,SL_HIT,12
ADANIENSOL,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-27,VAL,BULL,1540.0999755859375,1412.44,2178.4,127.66,5.0,1.0003,EXPIRED_POS,45
ADANIENSOL,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-07-07,HOLDOUT,BULL,1651.0,1560.87,2101.65,90.13,5.0,-1.0,SL_HIT,31
ADANIENT,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-28,VAL,BULL,2411.32177734375,2257.18,3182.03,154.14,5.0,4.0526,EXPIRED_POS,45
ADANIENT,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-29,VAL,BULL,2424.815673828125,2291.38,3091.99,133.44,5.0,5.0,TARGET_HIT,41
ADANIENT,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-04,VAL,BULL,2484.589111328125,2355.07,3132.18,129.52,5.0,5.0,TARGET_HIT,42
ADANIENT,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-14,VAL,BULL,2711.6875,2558.02,3480.02,153.67,5.0,2.8615,EXPIRED_POS,45
ADANIENT,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-06-05,HOLDOUT,BULL,3046.837646484375,2897.39,3794.08,149.45,5.0,-1.0,SL_HIT,4
ADANIENT,MBAG_V57_SCALE_A_60D_165V,2026-07-01,HOLDOUT,BULL,3143.60009765625,2871.77,4502.75,271.83,5.0,-1.0,SL_HIT,43
ADANIENT,MBAG_V57_SCALE_E_60D_55R,2026-07-01,HOLDOUT,BULL,3143.60009765625,2871.77,4638.67,271.83,5.5,-1.0,SL_HIT,43
ADANIGREEN,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-08,VAL,BULL,1029.6500244140625,947.77,1439.05,81.88,5.0,5.0,TARGET_HIT,26
ADANIGREEN,MBAG_V57_SCALE_A_60D_165V,2026-07-14,HOLDOUT,BULL,1604.5,1461.95,2317.25,142.55,5.0,-1.0,SL_HIT,7
ADANIGREEN,MBAG_V57_SCALE_B_75D_180V,2026-07-14,HOLDOUT,BULL,1604.5,1461.95,2317.25,142.55,5.0,-1.0,SL_HIT,7
ADANIGREEN,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-07-14,HOLDOUT,BULL,1604.5,1513.77,2058.15,90.73,5.0,-1.0,SL_HIT,3
ADANIGREEN,MBAG_V57_SCALE_D_60D_45R,2026-07-14,HOLDOUT,BULL,1604.5,1461.95,2245.98,142.55,4.5,-1.0,SL_HIT,7
ADANIGREEN,MBAG_V57_SCALE_E_60D_55R,2026-07-14,HOLDOUT,BULL,1604.5,1461.95,2388.52,142.55,5.5,-1.0,SL_HIT,7
ADANIGREEN,MBAG_V57_SCALE_F_MULTI_REG,2026-07-14,HOLDOUT,BULL,1604.5,1461.95,2317.25,142.55,5.0,-1.0,SL_HIT,7
ADANIPORTS,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-02-04,VAL,BULL,1561.3199462890625,1464.8,2043.92,96.52,5.0,-1.0,SL_HIT,18
ADANIPORTS,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-04,VAL,BULL,1735.2867431640625,1656.5,2129.22,78.79,5.0,1.6388,EXPIRED_POS,45
ADFFOODS,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-02-05,VAL,BULL,227.72999572753906,205.97,336.53,21.76,5.0,-1.0,SL_HIT,14
ADFFOODS,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-24,VAL,BULL,260.1499938964844,235.2,384.9,24.95,5.0,1.6172,EXPIRED_POS,45
ADVAIT,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-06-04,HOLDOUT,BULL,2215.39990234375,2005.57,3264.55,209.83,5.0,0.4656,EXPIRED_POS,45
ADVAIT,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-06-09,HOLDOUT,BULL,2346.199951171875,2112.48,3514.8,233.72,5.0,-1.0,SL_HIT,20
ADVENZYMES,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-27,VAL,BULL,329.1299743652344,307.76,435.98,21.37,5.0,-0.4403,EXPIRED_NEG,45
ADVENZYMES,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-04-28,VAL,BULL,340.5307922363281,318.17,452.33,22.36,5.0,-1.0,SL_HIT,44
AEROFLEX,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-02-18,VAL,BULL,226.50485229492188,205.06,333.73,21.44,5.0,3.6552,EXPIRED_POS,45
AEROFLEX,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-03-16,VAL,BULL,246.67568969726562,224.62,356.95,22.06,5.0,-1.0,SL_HIT,5
AEROFLEX,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-06,VAL,BULL,344.3728942871094,311.43,509.09,32.94,5.0,5.0,TARGET_HIT,30
AEROFLEX,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-07,VAL,BULL,413.20751953125,374.79,605.3,38.42,5.0,-1.0,SL_HIT,3
AEROFLEX,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-08-26,HOLDOUT,BULL,536.3499755859375,494.83,743.95,41.52,5.0,0.0265,EXPIRED_POS,7
AETHER,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-01-02,VAL,BULL,944.0999755859375,890.95,1209.85,53.15,5.0,1.08,EXPIRED_POS,45
AETHER,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-01-06,VAL,BULL,997.75,938.67,1293.15,59.08,5.0,-1.0,SL_HIT,38
AETHER,MBAG_V57_SCALE_A_60D_165V,2026-02-02,VAL,BULL,1038.0,935.55,1550.25,102.45,5.0,-1.0,SL_HIT,20
AETHER,MBAG_V57_SCALE_B_75D_180V,2026-02-02,VAL,BULL,1038.0,935.55,1550.25,102.45,5.0,-1.0,SL_HIT,20
AETHER,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-02-02,VAL,BULL,1038.0,982.24,1316.8,55.76,5.0,-1.0,SL_HIT,5
AETHER,MBAG_V57_SCALE_D_60D_45R,2026-02-02,VAL,BULL,1038.0,935.55,1499.02,102.45,4.5,-1.0,SL_HIT,20
AETHER,MBAG_V57_SCALE_E_60D_55R,2026-02-02,VAL,BULL,1038.0,935.55,1601.48,102.45,5.5,-1.0,SL_HIT,20
AETHER,MBAG_V57_SCALE_F_MULTI_REG,2026-02-02,VAL,BULL,1038.0,935.55,1550.25,102.45,5.0,-1.0,SL_HIT,20
AETHER,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-03-20,VAL,BULL,1155.550048828125,1050.66,1680.0,104.89,5.0,-1.0,SL_HIT,37
AETHER,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-04,VAL,BULL,1252.0,1170.07,1661.65,81.93,5.0,-1.0,SL_HIT,6
AETHER,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-06-24,HOLDOUT,BULL,1357.199951171875,1266.99,1808.25,90.21,5.0,3.3012,EXPIRED_POS,45
AETHER,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-07-08,HOLDOUT,BULL,1413.4000244140625,1302.56,1967.6,110.84,5.0,1.9145,EXPIRED_POS,42
AETHER,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-07-09,HOLDOUT,BULL,1485.800048828125,1367.3,2078.3,118.5,5.0,1.1797,EXPIRED_POS,41
AFCONS,MBAG_V57_SCALE_A_60D_165V,2025-11-26,DEV,BULL,683.3495559177959,641.58,892.2,41.77,5.0,1.0381,EXPIRED_POS,45
AFCONS,MBAG_V57_SCALE_E_60D_55R,2025-11-26,DEV,BULL,683.3495559177959,641.58,913.08,41.77,5.5,0.898,EXPIRED_POS,50
AIAENG,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-26,VAL,BULL,4143.39990234375,3913.1,5294.9,230.3,5.0,1.9957,EXPIRED_POS,45
AIAENG,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-27,VAL,BULL,4428.10009765625,4164.91,5744.05,263.19,5.0,0.8184,EXPIRED_POS,45
AIAENG,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2026-05-29,VAL,BULL,4503.60009765625,4242.11,5811.05,261.49,5.0,0.3342,EXPIRED_POS,45
AJANTPHARM,MBAG_V57_SCALE_A_60D_165V,2025-12-22,DEV,BULL,2700.800048828125,2501.03,3699.65,199.77,5.0,1.3921,EXPIRED_POS,45
AJANTPHARM,MBAG_V57_SCALE_B_75D_180V,2025-12-22,DEV,BULL,2700.800048828125,2501.03,3699.65,199.77,5.0,1.4577,EXPIRED_POS,50
AJANTPHARM,MBAG_V57_SCALE_C_60D_HYBRID_STOP,2025-12-22,DEV,BULL,2700.800048828125,2594.82,3230.7,105.98,5.0,2.6241,EXPIRED_POS,45
AJANTPHARM,MBAG_V57_SCALE_D_60D_45R,2025-12-22,DEV,BULL,2700.800048828125,2501.03,3599.77,199.77,4.5,1.296,EXPIRED_POS,40
