symbol,variant_id,date,partition,regime,entry_price,stop_loss,target_price,risk,target_r,r_multiple,outcome_type,bars_held
ADANIENT,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-04,VAL,BULL,2484.589111328125,2340.68,3204.13,143.91,5.0,5.0,TARGET_HIT,43
ADANIENT,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-14,VAL,BULL,2711.6875,2540.95,3565.38,170.74,5.0,1.7472,EXPIRED_POS,50
ADANIENT,MBAG_ABL_2_NO_VOL_FILTER,2026-07-01,HOLDOUT,BULL,3143.60009765625,2871.77,4502.75,271.83,5.0,-1.0,SL_HIT,43
ADANIGREEN,MBAG_V56_CONVEX_C_60D_FAST_5R,2026-07-14,HOLDOUT,BULL,1604.5,1461.95,2317.25,142.55,5.0,-1.0,SL_HIT,7
ADANIGREEN,MBAG_ABL_2_NO_VOL_FILTER,2026-07-14,HOLDOUT,BULL,1604.5,1449.02,2381.9,155.48,5.0,-1.0,SL_HIT,7
ADANIPORTS,MBAG_ABL_4_FIXED_ATR_STOP,2026-02-04,VAL,BULL,1561.3199462890625,1454.07,2097.57,107.25,5.0,-1.0,SL_HIT,18
ADANIPORTS,MBAG_ABL_2_NO_VOL_FILTER,2026-07-02,HOLDOUT,BULL,1883.199951171875,1761.65,2490.95,121.55,5.0,-1.0,SL_HIT,16
ADANIPOWER,MBAG_ABL_2_NO_VOL_FILTER,2025-09-02,DEV,BULL,2013.9572713352902,1825.5,2956.24,188.46,5.0,0.4291,EXPIRED_POS,50
ADVENZYMES,MBAG_ABL_4_FIXED_ATR_STOP,2026-04-27,VAL,BULL,329.1299743652344,305.38,447.88,23.75,5.0,-1.0,SL_HIT,46
ADVENZYMES,MBAG_ABL_4_FIXED_ATR_STOP,2026-04-28,VAL,BULL,340.5307922363281,315.68,464.78,24.85,5.0,-1.0,SL_HIT,45
AEGISVOPAK,MBAG_ABL_2_NO_VOL_FILTER,2025-09-10,DEV,BULL,1184.3552795354585,1111.83,1546.98,72.53,5.0,1.6525,EXPIRED_POS,50
AEGISVOPAK,MBAG_ABL_2_NO_VOL_FILTER,2026-06-25,HOLDOUT,BULL,1582.7130844641817,1427.78,2357.38,154.93,5.0,-1.0,SL_HIT,39
AEROFLEX,MBAG_ABL_4_FIXED_ATR_STOP,2026-08-26,HOLDOUT,BULL,536.3499755859375,490.22,767.0,46.13,5.0,0.0238,EXPIRED_POS,7
AETHER,MBAG_V56_CONVEX_C_60D_FAST_5R,2026-02-02,VAL,BULL,1038.0,935.55,1550.25,102.45,5.0,-1.0,SL_HIT,20
AETHER,MBAG_ABL_4_FIXED_ATR_STOP,2026-02-02,VAL,BULL,1038.0,976.04,1347.8,61.96,5.0,-1.0,SL_HIT,7
AETHER,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-04,VAL,BULL,1252.0,1160.97,1707.15,91.03,5.0,-1.0,SL_HIT,6
AETHER,MBAG_ABL_4_FIXED_ATR_STOP,2026-06-24,HOLDOUT,BULL,1357.199951171875,1256.97,1858.35,100.23,5.0,2.8854,EXPIRED_POS,50
AETHER,MBAG_ABL_4_FIXED_ATR_STOP,2026-07-09,HOLDOUT,BULL,1485.800048828125,1354.13,2144.15,131.67,5.0,1.0617,EXPIRED_POS,41
AFCONS,MBAG_ABL_2_NO_VOL_FILTER,2026-02-20,VAL,BULL,768.2342416547799,705.38,1082.51,62.85,5.0,0.7454,EXPIRED_POS,50
AFCONS,MBAG_ABL_2_NO_VOL_FILTER,2026-07-20,HOLDOUT,BULL,878.2439298544758,803.38,1252.56,74.86,5.0,-1.0,SL_HIT,22
AIAENG,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-27,VAL,BULL,4428.10009765625,4135.67,5890.25,292.43,5.0,0.7472,EXPIRED_POS,50
AIAENG,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-29,VAL,BULL,4503.60009765625,4213.06,5956.3,290.54,5.0,0.9376,EXPIRED_POS,50
AIIL,MBAG_ABL_3_NO_CPOS_FILTER,2025-12-15,DEV,BULL,1476.924195148374,1335.66,2183.25,141.26,5.0,-1.0,SL_HIT,11
AJANTPHARM,MBAG_V56_CONVEX_A_90D_5R,2026-03-12,VAL,BULL,3119.5,2815.85,4637.75,303.65,5.0,-1.0,SL_HIT,7
AJANTPHARM,MBAG_V56_CONVEX_B_120D_5R,2026-03-12,VAL,BULL,3119.5,2815.85,4637.75,303.65,5.0,-1.0,SL_HIT,7
AJANTPHARM,MBAG_V56_CONVEX_C_60D_FAST_5R,2026-03-12,VAL,BULL,3119.5,2815.85,4637.75,303.65,5.0,-1.0,SL_HIT,7
AJANTPHARM,MBAG_V56_CONVEX_D_90D_4R,2026-03-12,VAL,BULL,3119.5,2815.85,4334.1,303.65,4.0,-1.0,SL_HIT,7
AJANTPHARM,MBAG_V56_CONVEX_E_90D_6R,2026-03-12,VAL,BULL,3119.5,2815.85,4941.4,303.65,6.0,-1.0,SL_HIT,7
AJANTPHARM,MBAG_V56_CONVEX_F_MULTI_REG,2026-03-12,VAL,BULL,3119.5,2815.85,4637.75,303.65,5.0,-1.0,SL_HIT,7
AJANTPHARM,MBAG_ABL_1_NO_BASE_FILTER,2026-03-12,VAL,BULL,3119.5,2815.85,4637.75,303.65,5.0,-1.0,SL_HIT,7
AJANTPHARM,MBAG_ABL_2_NO_VOL_FILTER,2026-03-12,VAL,BULL,3119.5,2815.85,4637.75,303.65,5.0,-1.0,SL_HIT,7
AJANTPHARM,MBAG_ABL_3_NO_CPOS_FILTER,2026-03-12,VAL,BULL,3119.5,2815.85,4637.75,303.65,5.0,-1.0,SL_HIT,7
AJANTPHARM,MBAG_ABL_4_FIXED_ATR_STOP,2026-03-12,VAL,BULL,3119.5,2938.6,4024.0,180.9,5.0,-1.0,SL_HIT,2
AJANTPHARM,MBAG_ABL_5_SHORT_HORIZON_20D,2026-03-12,VAL,BULL,3119.5,2815.85,4637.75,303.65,5.0,-1.0,SL_HIT,7
AJANTPHARM,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-14,VAL,BULL,3259.199951171875,3083.04,4140.0,176.16,5.0,-1.0,SL_HIT,7
AKUMS,MBAG_ABL_4_FIXED_ATR_STOP,2026-04-13,VAL,BULL,521.9320678710938,477.78,742.69,44.15,5.0,2.0108,EXPIRED_POS,50
AKUMS,MBAG_ABL_4_FIXED_ATR_STOP,2026-06-10,HOLDOUT,BULL,589.3134155273438,549.44,788.68,39.87,5.0,4.0901,EXPIRED_POS,50
AKUMS,MBAG_ABL_4_FIXED_ATR_STOP,2026-07-10,HOLDOUT,BULL,701.9500122070312,657.64,923.5,44.31,5.0,-1.0,SL_HIT,5
AKUMS,MBAG_ABL_4_FIXED_ATR_STOP,2026-08-11,HOLDOUT,BULL,760.9500122070312,713.91,996.15,47.04,5.0,0.102,EXPIRED_POS,18
ALIVUS,MBAG_ABL_4_FIXED_ATR_STOP,2026-08-04,HOLDOUT,BULL,1335.800048828125,1233.64,1846.6,102.16,5.0,0.2986,EXPIRED_POS,23
ALKEM,MBAG_ABL_1_NO_BASE_FILTER,2026-06-30,HOLDOUT,BULL,5570.0,5136.69,7736.55,433.31,5.0,-1.0,SL_HIT,48
ALKEM,MBAG_V56_CONVEX_C_60D_FAST_5R,2026-07-30,HOLDOUT,BULL,5806.10888671875,5465.7,7508.15,340.41,5.0,-1.0,SL_HIT,9
ALKYLAMINE,MBAG_ABL_2_NO_VOL_FILTER,2025-08-19,DEV,BULL,2226.489902759582,2068.85,3014.69,157.64,5.0,0.8172,EXPIRED_POS,50
ALKYLAMINE,MBAG_ABL_2_NO_VOL_FILTER,2025-10-02,DEV,BULL,2429.9796001504183,2268.52,3237.28,161.46,5.0,0.4301,EXPIRED_POS,50
ALKYLAMINE,MBAG_ABL_2_NO_VOL_FILTER,2026-01-19,VAL,BULL,2666.9963414031054,2531.1,3346.48,135.9,5.0,-1.0,SL_HIT,21
ALKYLAMINE,MBAG_ABL_2_NO_VOL_FILTER,2026-01-20,VAL,BULL,2680.593039118577,2532.18,3422.66,148.41,5.0,-1.0,SL_HIT,20
ALKYLAMINE,MBAG_ABL_2_NO_VOL_FILTER,2026-01-26,VAL,BULL,2737.686116808305,2538.67,3732.77,199.02,5.0,-1.0,SL_HIT,16
ALKYLAMINE,MBAG_V56_CONVEX_C_60D_FAST_5R,2026-02-02,VAL,BULL,2793.580776717966,2547.34,4024.78,246.24,5.0,-1.0,SL_HIT,10
AMBUJACEM,MBAG_ABL_1_NO_BASE_FILTER,2026-07-03,HOLDOUT,NEUTRAL,443.3999938964844,400.79,656.45,42.61,5.0,-0.8895,EXPIRED_NEG,38
ANANTRAJ,MBAG_V56_CONVEX_C_60D_FAST_5R,2025-08-28,DEV,BULL,773.4090053116822,704.33,1118.8,69.08,5.0,0.3553,EXPIRED_POS,40
ANANTRAJ,MBAG_ABL_2_NO_VOL_FILTER,2025-10-27,DEV,BULL,828.7592188712049,773.17,1106.71,55.59,5.0,0.4175,EXPIRED_POS,50
ANANTRAJ,MBAG_ABL_2_NO_VOL_FILTER,2025-11-06,DEV,BULL,853.9207967159581,773.17,1257.67,80.75,5.0,0.6616,EXPIRED_POS,50
ANANTRAJ,MBAG_ABL_2_NO_VOL_FILTER,2025-12-04,DEV,BULL,890.8372935652948,821.45,1237.77,69.39,5.0,1.4314,EXPIRED_POS,50
ANGELONE,MBAG_ABL_4_FIXED_ATR_STOP,2026-04-09,VAL,BULL,280.93115234375,255.44,408.39,25.49,5.0,2.8119,EXPIRED_POS,50
ANGELONE,MBAG_ABL_4_FIXED_ATR_STOP,2026-04-17,VAL,BULL,321.4757995605469,292.91,464.3,28.57,5.0,-1.0,SL_HIT,19
ANGELONE,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-21,VAL,BULL,338.6028137207031,313.27,465.27,25.33,5.0,-1.0,SL_HIT,44
APARINDS,MBAG_ABL_4_FIXED_ATR_STOP,2026-02-03,VAL,BULL,9759.0,8933.79,13885.05,825.21,5.0,-1.0,SL_HIT,27
APARINDS,MBAG_ABL_4_FIXED_ATR_STOP,2026-02-18,VAL,BULL,10182.0,9360.14,14291.3,821.86,5.0,-1.0,SL_HIT,14
APARINDS,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-27,VAL,BULL,13426.0,12414.29,18484.55,1011.71,5.0,2.2141,EXPIRED_POS,50
APARINDS,MBAG_ABL_4_FIXED_ATR_STOP,2026-08-12,HOLDOUT,BULL,18000.0,16393.71,26031.45,1606.29,5.0,-1.0,SL_HIT,3
APCOTEXIND,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-05,VAL,BULL,410.1800231933594,385.25,534.83,24.93,5.0,5.0,TARGET_HIT,3
APCOTEXIND,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-06,VAL,BULL,421.6577453613281,396.21,548.9,25.45,5.0,5.0,TARGET_HIT,2
APCOTEXIND,MBAG_ABL_4_FIXED_ATR_STOP,2026-05-07,VAL,BULL,505.95965576171875,469.75,687.01,36.21,5.0,-1.0,SL_HIT,4
APCOTEXIND,MBAG_ABL_4_FIXED_ATR_STOP,2026-07-27,HOLDOUT,BULL,588.5,543.4,814.0,45.1,5.0,1.0421,EXPIRED_POS,29
APCOTEXIND,MBAG_ABL_4_FIXED_ATR_STOP,2026-07-29,HOLDOUT,BULL,681.5999755859375,620.37,987.75,61.23,5.0,-1.0,SL_HIT,2
APLAPOLLO,MBAG_ABL_3_NO_CPOS_FILTER,2026-01-23,VAL,BULL,2000.0999755859375,1837.76,2811.8,162.34,5.0,-1.0,SL_HIT,45
APLAPOLLO,MBAG_ABL_1_NO_BASE_FILTER,2026-08-03,HOLDOUT,BULL,1941.5,1774.08,2778.6,167.42,5.0,1.8427,EXPIRED_POS,24
APLLTD,MBAG_ABL_4_FIXED_ATR_STOP,2026-06-30,HOLDOUT,BULL,822.75,782.6,1023.5,40.15,5.0,-1.0,SL_HIT,17
APOLLOHOSP,MBAG_V56_CONVEX_A_90D_5R,2026-05-08,VAL,BULL,8097.0,7327.18,11946.1,769.82,5.0,0.947,EXPIRED_POS,50
APOLLOHOSP,MBAG_V56_CONVEX_B_120D_5R,2026-05-08,VAL,BULL,8097.0,7327.18,11946.1,769.82,5.0,1.1036,EXPIRED_POS,60
APOLLOHOSP,MBAG_V56_CONVEX_C_60D_FAST_5R,2026-05-08,VAL,BULL,8097.0,7477.42,11194.9,619.58,5.0,1.2855,EXPIRED_POS,40
