variant_id,partition,n,win_pct,er,pf,ci_low,ci_high,max_dd_r,avg_win,avg_loss,avg_bars,bear_er,neut_er,bull_er,bear_n,neut_n,bull_n
M1H_ABL_5_TARGET_20R,HOLDOUT,286,38.8,0.018,1.03,-0.131,0.164,19.93,1.51,-0.93,9.5,N/A,-0.046R,+0.033R,0,56,230
M1H_ABL_6_TARGET_30R,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_ABL_6_TARGET_30R,VAL,119,38.7,0.087,1.14,-0.183,0.356,21.19,1.78,-0.98,9.6,N/A,-0.333R,+0.210R,0,27,92
M1H_ABL_6_TARGET_30R,HOLDOUT,286,37.1,0.042,1.07,-0.123,0.214,19.7,1.69,-0.93,10.8,N/A,+0.032R,+0.045R,0,56,230
M1H_V56_BALANCED_C_10H_FAST,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V56_BALANCED_C_10H_FAST,VAL,95,37.9,0.096,1.16,-0.191,0.38,12.78,1.85,-0.97,8.4,N/A,-0.262R,+0.205R,0,22,73
M1H_V56_BALANCED_C_10H_FAST,HOLDOUT,229,35.4,0.002,1.0,-0.177,0.184,14.97,1.7,-0.93,10.0,N/A,+0.140R,-0.037R,0,50,179
M1H_V56_PRECISION_B_20H,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V56_PRECISION_B_20H,VAL,27,40.7,-0.052,0.91,-0.536,0.47,5.61,1.33,-1.0,9.4,N/A,-0.611R,+0.228R,0,9,18
M1H_V56_PRECISION_B_20H,HOLDOUT,86,40.7,0.231,1.43,-0.077,0.564,11.54,1.89,-0.91,10.9,N/A,+0.142R,+0.256R,0,19,67
M1H_V56_PRECISION_C_TIGHT20H,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V56_PRECISION_C_TIGHT20H,VAL,22,36.4,-0.212,0.67,-0.673,0.319,4.61,1.17,-1.0,9.4,N/A,-0.500R,-0.078R,0,7,15
M1H_V56_PRECISION_C_TIGHT20H,HOLDOUT,74,37.8,0.18,1.32,-0.149,0.523,8.9,1.98,-0.92,10.3,N/A,+0.121R,+0.197R,0,16,58
