variant_id,partition,n,win_pct,er,pf,ci_low,ci_high,max_dd_r,avg_win,avg_loss,avg_bars,bear_er,neut_er,bull_er,bear_n,neut_n,bull_n
M1H_V57_QUAL_A_20H_26R,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V57_QUAL_A_20H_26R,VAL,21,33.3,-0.336,0.5,-0.744,0.139,7.01,0.99,-1.0,9.4,N/A,-1.000R,-0.005R,0,7,14
M1H_V57_QUAL_A_20H_26R,HOLDOUT,72,36.1,0.083,1.14,-0.226,0.435,11.49,1.85,-0.92,10.6,N/A,+0.134R,+0.072R,0,13,59
M1H_V57_QUAL_B_20H_28R,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V57_QUAL_B_20H_28R,VAL,27,40.7,-0.007,0.99,-0.492,0.55,5.61,1.44,-1.0,9.6,N/A,-0.578R,+0.278R,0,9,18
M1H_V57_QUAL_B_20H_28R,HOLDOUT,82,39.0,0.221,1.39,-0.109,0.567,12.69,2.01,-0.92,11.0,N/A,+0.126R,+0.246R,0,17,65
M1H_V57_QUAL_D_18H_27R,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V57_QUAL_D_18H_27R,VAL,28,32.1,-0.176,0.74,-0.651,0.388,8.3,1.56,-1.0,7.9,N/A,-0.295R,-0.128R,0,8,20
M1H_V57_QUAL_D_18H_27R,HOLDOUT,64,35.9,-0.027,0.96,-0.381,0.319,12.71,1.62,-0.95,10.7,N/A,-0.365R,+0.044R,0,11,53
M1H_V57_QUAL_E_20H_30R,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V57_QUAL_E_20H_30R,VAL,26,34.6,-0.246,0.62,-0.682,0.246,8.34,1.18,-1.0,9.5,N/A,-0.556R,-0.082R,0,9,17
M1H_V57_QUAL_E_20H_30R,HOLDOUT,86,39.5,0.225,1.41,-0.089,0.555,12.49,1.96,-0.91,11.7,N/A,-0.014R,+0.292R,0,19,67
M1H_V57_QUAL_F_MULTI_REG,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V57_QUAL_F_MULTI_REG,VAL,40,50.0,0.359,1.72,-0.119,0.867,5.0,1.72,-1.0,9.0,+1.370R,-0.600R,-0.050R,15,9,16
M1H_V57_QUAL_F_MULTI_REG,HOLDOUT,98,39.8,0.218,1.39,-0.08,0.526,14.29,1.96,-0.94,10.2,+0.557R,+0.079R,+0.165R,17,17,64
M1H_V57_QUAL_C_22H_PINCH,DEV,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,0,0
M1H_V57_QUAL_C_22H_PINCH,VAL,14,42.9,0.008,1.01,-0.655,0.715,5.0,1.35,-1.0,11.8,N/A,-0.391R,+0.231R,0,5,9
M1H_V57_QUAL_C_22H_PINCH,HOLDOUT,38,28.9,-0.062,0.91,-0.501,0.424,7.87,2.18,-0.97,8.9,N/A,+0.117R,-0.096R,0,6,32
