scanner,timing_protocol,n_raw,n_eligible_t0,eligibility_retention_pct,n_confirmed,confirmation_retention_pct,n_executed,n_final_gated,final_yield_pct,net_wr,net_er,net_pf,max_dd_r,notes
EOD_BREAKOUT,T2_CONFIRM_DEFENSE,10471,9601,91.69,5436,56.62,5436,913,8.72,54.65,0.142,1.55,9.5,"N_RAW=10,471 15D breakout bars; N_ELIGIBLE_T0=9,601 after min liquidity (>=60 RS) & stop clamp (1.5-8.0%); N_CONFIRMED=5,436 holding breakout level on T+1; N_FINAL_GATED=913 with Bull RS70+Vol1.4x"
ACCUMULATION_VCP,T4_CONFIRM_RANGE,8601,8339,96.95,4392,52.67,4392,719,8.36,53.55,0.175,1.627,10.0,"N_RAW=8,601 VCP contraction breakouts; N_ELIGIBLE_T0=8,339; N_CONFIRMED=4,392 continuing range expansion on T+1; N_FINAL_GATED=719 with Bull RS70+Vol1.4x"
REVERSAL,T1_CONFIRM_GREEN,14527,10501,72.29,6610,62.95,6610,115,0.79,60.87,0.5915,3.623,2.4,"N_RAW=14,527 raw liquidity sweeps; N_ELIGIBLE_T0=10,501 with valid risk clamp; N_CONFIRMED=6,610 green follow-through candles; N_FINAL_GATED=115 with Quad Bull/CPOS75/RS70/Vol1.4x"
PULLBACK_V2,T1_CONFIRM_GREEN,28294,21170,74.82,12852,60.71,12852,577,2.04,53.21,0.4244,2.432,10.1,"N_RAW=28,294 EMA20 pullback touches; N_ELIGIBLE_T0=21,170 valid bounce bars; N_CONFIRMED=12,852 green follow-through bars; N_FINAL_GATED=577 with RS70+Vol1.4x"
