scanner,variant_id,type,tier,total_n,dev_n,val_n,holdout_n,gross_wr,net_wr,gross_er,net_er,net_pf,max_dd_r,adverse_net_er,severe_net_er,ci_95_low,ci_95_high,pct_5r,status
TECHNICAL_AHAT,AHAT_V510_LOCAL_02_RS80_V200,CHALLENGER_V510,LOCAL_SEARCH,1036,244,510,282,38.42,37.45,0.091,-0.075,0.89,129.67,-0.158,-0.241,-0.1598,0.0098,,KEEP_RESEARCHING
DAILY_BUILDER,DAILY_BUILDER_CHAMPION_V1,CONTROL_V58,BASELINE,29754,10962,11934,6858,40.93,40.12,0.1611,0.0001,1.0,617.34,-0.0804,-0.1609,-0.0158,0.016,,CONTROL
DAILY_BUILDER,BLD_V510_LOCAL_01_ORB15_V180,CHALLENGER_V510,LOCAL_SEARCH,29754,10962,11934,6858,40.93,40.12,0.1611,0.0001,1.0,617.34,-0.0804,-0.1609,-0.0158,0.016,,KEEP_RESEARCHING
DAILY_BUILDER,BLD_V510_LOCAL_02_ORB15_V200,CHALLENGER_V510,LOCAL_SEARCH,29754,10962,11934,6858,40.93,40.12,0.1611,0.0001,1.0,617.34,-0.0804,-0.1609,-0.0158,0.016,,KEEP_RESEARCHING
REVERSAL,REV_V23D_15D_MULTI_REGIME,CONTROL_V58,BASELINE,35440,12909,17052,5479,41.12,39.92,0.3037,0.1376,1.2,565.14,0.0546,-0.0285,0.1209,0.1543,,CONTROL
REVERSAL,REV_V510_LOCAL_01_RSI28_P10_V15_T24,CHALLENGER_V510,LOCAL_SEARCH,35440,12909,17052,5479,41.12,39.88,0.2688,0.1028,1.15,705.27,0.0197,-0.0633,0.0866,0.119,,D_CAPACITY
REVERSAL,REV_V510_LOCAL_02_CHAMP_RSI30_P10_V15_T25,CHALLENGER_V510,LOCAL_SEARCH,35440,12909,17052,5479,41.12,39.92,0.3037,0.1376,1.2,565.14,0.0546,-0.0285,0.1209,0.1543,,D_CAPACITY
REVERSAL,REV_V510_LOCAL_03_RSI30_P09_V16_T24,CHALLENGER_V510,LOCAL_SEARCH,35440,12909,17052,5479,41.12,39.88,0.2688,0.1028,1.15,705.27,0.0197,-0.0633,0.0866,0.119,,D_CAPACITY
REVERSAL,REV_V510_LOCAL_04_RSI30_P11_V14_T25,CHALLENGER_V510,LOCAL_SEARCH,35440,12909,17052,5479,41.12,39.92,0.3037,0.1376,1.2,565.14,0.0546,-0.0285,0.1209,0.1543,,D_CAPACITY
REVERSAL,REV_V510_LOCAL_05_RSI32_P10_V15_T25,CHALLENGER_V510,LOCAL_SEARCH,35440,12909,17052,5479,41.12,39.92,0.3037,0.1376,1.2,565.14,0.0546,-0.0285,0.1209,0.1543,,D_CAPACITY
MULTITF_1H,M1H_V57_QUAL_F_MULTI_REG,CONTROL_V58,BASELINE,596,0,156,440,38.09,36.58,0.095,-0.0284,0.96,100.65,-0.09,-0.1517,-0.1474,0.0906,,CONTROL
MULTITF_1H,M1H_V510_LOCAL_01_V160_T20,CHALLENGER_V510,LOCAL_SEARCH,596,0,156,440,38.09,36.58,0.095,-0.0284,0.96,100.65,-0.09,-0.1517,-0.1474,0.0906,,KEEP_RESEARCHING
MULTITF_1H,M1H_V510_LOCAL_02_V180_T20,CHALLENGER_V510,LOCAL_SEARCH,596,0,156,440,38.09,36.58,0.095,-0.0284,0.96,100.65,-0.09,-0.1517,-0.1474,0.0906,,KEEP_RESEARCHING
SHORT_COVERING_EOD,SC_ABL_2_NO_RSI_FILTER,CONTROL_V58,BASELINE,6842,2222,3340,1280,36.16,34.67,0.106,-0.0681,0.91,517.23,-0.1551,-0.2422,-0.1037,-0.0325,,CONTROL
SHORT_COVERING_EOD,SC_V510_LOCAL_01_V15_T25,CHALLENGER_V510,LOCAL_SEARCH,6842,2222,3340,1280,36.16,34.67,0.106,-0.0681,0.91,517.23,-0.1551,-0.2422,-0.1037,-0.0325,,KEEP_RESEARCHING
SHORT_COVERING_EOD,SC_V510_LOCAL_02_V16_T24,CHALLENGER_V510,LOCAL_SEARCH,6842,2222,3340,1280,36.16,34.62,0.0776,-0.0965,0.87,674.47,-0.1835,-0.2706,-0.1311,-0.0619,,KEEP_RESEARCHING
SHORT_COVERING_EOD,SC_V510_LOCAL_03_V17_T25,CHALLENGER_V510,LOCAL_SEARCH,6842,2222,3340,1280,36.16,34.67,0.106,-0.0681,0.91,517.23,-0.1551,-0.2422,-0.1037,-0.0325,,KEEP_RESEARCHING
MULTIBAGGER,MBAG_V57_SCALE_A_60D_165V,CONTROL_V58,BASELINE,2493,528,1100,865,42.16,40.15,0.3877,0.2287,1.37,73.3,0.1491,0.0696,0.155,0.3024,7.8,CONTROL
MULTIBAGGER,MBAG_V510_LOCAL_01_70D_170V_50R,CHALLENGER_V510,LOCAL_SEARCH,2493,528,1100,865,42.16,40.15,0.3877,0.2287,1.37,73.3,0.1491,0.0696,0.155,0.3024,7.8,A_MAJOR_CONVEXITY
MULTIBAGGER,MBAG_V510_LOCAL_02_CHAMP_75D_180V_50R,CHALLENGER_V510,LOCAL_SEARCH,2493,528,1100,865,42.16,40.15,0.3877,0.2287,1.37,73.3,0.1491,0.0696,0.155,0.3024,7.8,A_MAJOR_CONVEXITY
MULTIBAGGER,MBAG_V510_LOCAL_03_80D_180V_50R,CHALLENGER_V510,LOCAL_SEARCH,2493,528,1100,865,42.16,40.15,0.3877,0.2287,1.37,73.3,0.1491,0.0696,0.155,0.3024,7.8,A_MAJOR_CONVEXITY
MULTIBAGGER,MBAG_V510_LOCAL_04_75D_190V_55R,CHALLENGER_V510,LOCAL_SEARCH,2493,528,1100,865,42.16,40.35,0.4785,0.3195,1.52,60.03,0.24,0.1605,0.24,0.399,8.3,A_MAJOR_CONVEXITY
MULTIBAGGER,MBAG_V510_LOCAL_05_75D_180V_45R,CHALLENGER_V510,LOCAL_SEARCH,2493,528,1100,865,42.16,40.15,0.2968,0.1378,1.22,100.75,0.0583,-0.0212,0.07,0.2056,0.4,C_TRADEOFF
