scanner,frontier_tier,net_wr,net_er,net_pf,n_trades,max_dd_r,lock_net_wr,lock_net_er,lock_net_pf,status
REVERSAL,F70_EXTREME,39.14,-0.0901,0.84,25516,4752.95,45.88,0.0441,1.09,REJECT_ECONOMIC_COLLAPSE
REVERSAL,F80_TIGHT,39.08,-0.1188,0.78,25516,5328.27,45.88,0.0038,1.01,REJECT_ECONOMIC_COLLAPSE
REVERSAL,F90_MAX,38.88,-0.1826,0.66,25516,6528.68,45.86,-0.0773,0.85,REJECT_ECONOMIC_COLLAPSE
MULTITF_1H,F50_BALANCED,36.07,0.0751,1.14,524,64.65,34.12,0.0853,1.15,SUPERIOR_ALPHA_EXPANSION
MULTITF_1H,F55_PRECISION,34.61,-0.0046,0.99,471,71.63,33.92,-0.016,0.97,REJECT_ECONOMIC_COLLAPSE
MULTITF_1H,F60_SELECTIVE,34.11,-0.0705,0.88,428,75.79,33.76,-0.0954,0.84,REJECT_ECONOMIC_COLLAPSE
MULTITF_1H,F65_ULTRA_SELECTIVE,34.11,-0.1237,0.78,428,82.08,33.76,-0.1451,0.75,REJECT_ECONOMIC_COLLAPSE
MULTITF_1H,F70_EXTREME,34.11,-0.1492,0.73,428,91.34,33.76,-0.1684,0.71,REJECT_ECONOMIC_COLLAPSE
MULTITF_1H,F80_TIGHT,34.11,-0.1723,0.69,428,98.6,33.76,-0.1884,0.67,REJECT_ECONOMIC_COLLAPSE
MULTITF_1H,F90_MAX,34.11,-0.2256,0.59,428,116.34,33.76,-0.2381,0.57,REJECT_ECONOMIC_COLLAPSE
SHORT_COVERING_EOD,F50_BALANCED,34.44,-0.0356,0.94,6020,826.15,34.39,0.0203,1.04,REJECT_ECONOMIC_COLLAPSE
SHORT_COVERING_EOD,F55_PRECISION,34.27,-0.0871,0.85,5418,943.58,36.19,0.032,1.06,REJECT_ECONOMIC_COLLAPSE
SHORT_COVERING_EOD,F60_SELECTIVE,34.82,-0.1307,0.78,4925,1014.14,36.91,-0.021,0.96,REJECT_ECONOMIC_COLLAPSE
SHORT_COVERING_EOD,F65_ULTRA_SELECTIVE,34.72,-0.1832,0.69,4925,1211.51,36.8,-0.0833,0.84,REJECT_ECONOMIC_COLLAPSE
SHORT_COVERING_EOD,F70_EXTREME,34.52,-0.2062,0.64,4925,1307.91,36.8,-0.0922,0.82,REJECT_ECONOMIC_COLLAPSE
SHORT_COVERING_EOD,F80_TIGHT,34.31,-0.229,0.6,4925,1405.56,36.69,-0.1228,0.76,REJECT_ECONOMIC_COLLAPSE
SHORT_COVERING_EOD,F90_MAX,33.79,-0.2809,0.51,4925,1591.84,36.35,-0.1751,0.65,REJECT_ECONOMIC_COLLAPSE
MULTIBAGGER,F50_BALANCED,36.8,-0.1864,0.64,2193,513.97,35.83,-0.1742,0.67,REJECT_ECONOMIC_COLLAPSE
MULTIBAGGER,F55_PRECISION,37.25,-0.2101,0.59,1973,511.48,35.85,-0.2004,0.61,REJECT_ECONOMIC_COLLAPSE
MULTIBAGGER,F60_SELECTIVE,35.34,-0.2701,0.48,1794,564.67,33.91,-0.2475,0.52,REJECT_ECONOMIC_COLLAPSE
MULTIBAGGER,F65_ULTRA_SELECTIVE,34.73,-0.2998,0.42,1794,607.61,33.44,-0.2778,0.46,REJECT_ECONOMIC_COLLAPSE
MULTIBAGGER,F70_EXTREME,34.11,-0.3113,0.39,1794,620.09,32.97,-0.2929,0.43,REJECT_ECONOMIC_COLLAPSE
MULTIBAGGER,F80_TIGHT,33.5,-0.3239,0.36,1794,636.23,32.18,-0.3112,0.39,REJECT_ECONOMIC_COLLAPSE
MULTIBAGGER,F90_MAX,32.39,-0.3532,0.3,1794,670.44,31.86,-0.3462,0.32,REJECT_ECONOMIC_COLLAPSE
