symbol,timestamp,tod_str,tod_hour,close,ret_5m,rvol,body_pct,upper_wick_pct,clv,dist_vwap_pct,mfe_pct,mae_pct,mfe_r,mae_r,r_5m,r_15m,r_30m,r_60m,r_eod
SHAILY,2026-08-07 14:05:00+05:30,14:05,14,3199.5,-0.17160686427457097,1.3976316352915987,0.33529124540441174,0.2529440487132353,0.4117647058823529,-2.9454537169307633,3.6349444859548363,-2.062822315986873,3.6349444859548368,-2.062822315986873,0.01562744178777934,0.10314264191670575,-0.11877008370448508,-0.7876215399867166,2.394127134122519
SHAILY,2026-08-07 14:10:00+05:30,14:10,14,3200.0,0.01562744178777934,1.5834511034150733,0.0,1.0,0.0,-2.917042393024745,3.6187515258789062,-2.078125,3.6187515258789062,-2.078125,-0.015625,0.171875,-0.3000030517578125,-0.8125,3.4343719482421875
SHAILY,2026-08-07 14:40:00+05:30,14:40,14,3190.39990234375,-0.16584938852539807,1.7215910127113234,0.3977250658898599,0.4318213344430573,0.17045359966708282,-3.173317088235314,3.9305463365972653,-1.7834724199292342,3.9305463365972653,-1.7834724199292342,-0.037611309196489286,-0.4952296003987794,-0.5140390811729342,0.1441856129969992,2.4761786114011777
SHAILY,2026-08-07 14:55:00+05:30,14:55,14,3174.60009765625,-0.3828276322626913,2.4630044489319407,0.7278032995290514,0.0,0.2721967004709485,-3.6143497008289645,4.447802772894778,-1.2946543310004137,4.447802772894777,-1.2946543310004135,-0.05670159304329209,-0.018903094493477816,-0.3874519136191643,3.3201001417962797,4.060350859275613
SHAILY,2026-08-07 15:00:00+05:30,15:00,15,3172.800048828125,-0.05670159304329209,1.5781884527102585,0.42855007473841555,0.0,0.5714499252615844,-3.651670371378881,4.507059940723876,-1.2386550751170244,4.507059940723876,-1.2386550751170244,0.04727685252507562,-0.8163182704797686,0.8509833454513612,3.293620725913602,3.9964714724131025
SHAILY,2026-08-07 15:10:00+05:30,15:10,15,3174.0,-0.009452440648632784,1.9803683860623362,0.018863144318024782,0.09433875351236815,0.9056612464876319,-3.5783536591632177,4.467550372656742,-1.275992438563327,4.467550372656742,-1.275992438563327,-0.85381530107908,-0.36861849942895397,0.6616257088846881,3.2167642613815377,3.821677656840737
SHAILY,2026-08-07 15:15:00+05:30,15:15,15,3146.89990234375,-0.85381530107908,2.1662264734575394,0.9342592123270312,0.003463598425329887,0.06227718924763884,-4.369293499871494,5.367191576655535,-0.42581279225850216,5.367191576655535,-0.42581279225850216,0.17160210530856337,1.6810241229781728,2.7773411673908366,5.179700818529397,4.725291554451763
SHAILY,2026-08-07 15:25:00+05:30,15:25,15,3162.300048828125,0.3172286852489668,1.9639457541072227,0.32400390625,0.507998046875,0.492001953125,-3.8610456131455333,4.854061842009064,-0.9107310623100939,4.854061842009064,-0.9107310623100939,1.1858457268751783,1.0340559297651988,3.7219729106822697,3.510103351550528,4.322801412299027
SHAILY,2026-08-10 09:20:00+05:30,09:20,9,3139.699951171875,-1.8782454134364017,3.255636994349018,0.7054262832341317,0.2583974437831001,0.036176272982768244,-4.501688550937485,5.608819326525825,-0.19746954385118565,5.608819326525825,-0.19746954385118565,1.7613163578731328,4.264743401177476,4.503619730656052,4.656494360784594,4.357105804873653
SHAILY,2026-08-10 09:25:00+05:30,09:25,9,3195.0,1.7613163578731328,3.1218642852991882,0.7854132068688044,0.1374479960280094,0.8625520039719906,-2.774458315892664,3.780909196498435,-0.12832856514084506,1.9642284362296747,-0.06666825457317073,1.2300484766236308,2.660406885758998,2.5383442145931143,2.835683807707355,2.0281705423513303
