symbol,timestamp,mfe_pct,mae_pct,mfe_r,mae_r,target_hit_3r,target_hit_2r,target_hit_1r,sl_hit_1r
SUNPHARMA,2026-08-06 13:10:00+05:30,0.2608816574886536,-0.39899988391799673,0.2608816574886536,-0.3989998839179968,0,0,0,0
SUNPHARMA,2026-08-06 13:15:00+05:30,0.01531095757519281,-0.7092872730561656,0.01531095757519281,-0.7092872730561656,0,0,0,0
SUNPHARMA,2026-08-06 13:20:00+05:30,0.14314446414152543,-0.5265542092104583,0.14314446414152543,-0.5265542092104583,0,0,0,0
SUNPHARMA,2026-08-06 13:35:00+05:30,0.14324698920907653,-0.4553078511315438,0.14324698920907655,-0.4553078511315438,0,0,0,0
SUNPHARMA,2026-08-06 13:45:00+05:30,0.04601587007659679,-0.5163850636467574,0.04601587007659679,-0.5163850636467573,0,0,0,0
SUNPHARMA,2026-08-06 13:50:00+05:30,0.04090229182643149,-0.5214698963126277,0.04090229182643149,-0.5214698963126279,0,0,0,0
SUNPHARMA,2026-08-06 13:55:00+05:30,0.09207410885549872,-0.4705857376918159,0.09207410885549872,-0.47058573769181583,0,0,0,0
SUNPHARMA,2026-08-06 14:10:00+05:30,0.3229966074403999,-0.3793911517078954,0.32299660744039993,-0.37939115170789545,0,0,0,0
SUNPHARMA,2026-08-06 14:30:00+05:30,0.348720452724359,-0.4205103165064103,0.348720452724359,-0.42051031650641024,0,0,0,0
SUNPHARMA,2026-08-06 14:40:00+05:30,0.33843184399035603,-0.5025088197712099,0.33843184399035603,-0.5025088197712099,0,0,0,0
SUNPHARMA,2026-08-06 15:00:00+05:30,0.33843184399035603,-0.6819775966982552,0.33843184399035603,-0.6819775966982552,0,0,0,0
SUNPHARMA,2026-08-06 15:05:00+05:30,0.374457493107207,-0.6463183167959733,0.37445749310720694,-0.6463183167959733,0,0,0,0
SUNPHARMA,2026-08-07 10:35:00+05:30,0.13399173125256003,-0.7833474052226641,0.13399173125256003,-0.7833474052226641,0,0,0,0
SUNPHARMA,2026-08-07 10:45:00+05:30,0.258077833023264,-0.6297136930137713,0.258077833023264,-0.6297136930137713,0,0,0,0
SUNPHARMA,2026-08-07 10:55:00+05:30,0.13911537015393513,-0.8037972621481281,0.13911537015393513,-0.803797262148128,0,0,0,0
SUNPHARMA,2026-08-07 11:10:00+05:30,0.2527479515899616,-0.6963429277356578,0.2527479515899616,-0.6963429277356575,0,0,0,0
SUNPHARMA,2026-08-07 11:15:00+05:30,0.3148374495967742,-0.6348412298387096,0.3148374495967742,-0.6348412298387097,0,0,0,0
SUNPHARMA,2026-08-07 11:20:00+05:30,0.34591104793350513,-0.6040618046730071,0.3459110479335051,-0.6040618046730071,0,0,0,0
SUNPHARMA,2026-08-07 11:25:00+05:30,0.7568675783275013,-0.19699579202306894,0.7568675783275013,-0.19699579202306897,0,0,0,0
SUNPHARMA,2026-08-07 11:30:00+05:30,0.8248184269754565,-0.12968823278125913,0.8248184269754564,-0.12968823278125916,0,0,0,0
SUNPHARMA,2026-08-07 11:55:00+05:30,0.8300477382573341,-0.010373063623546702,0.8300477382573342,-0.010373063623546702,0,0,0,0
SUNPHARMA,2026-08-07 12:00:00+05:30,0.8248184269754565,0.0,0.8248184269754564,0.0,0,0,0,0
SUNPHARMA,2026-08-07 12:15:00+05:30,0.4755971389455344,-0.020679508323707192,0.47559713894553435,-0.02067950832370719,0,0,0,0
SUNPHARMA,2026-08-07 12:20:00+05:30,0.3925607224141271,-0.025826446280991736,0.3925607224141271,-0.025826446280991736,0,0,0,0
SUNPHARMA,2026-08-07 12:25:00+05:30,0.29904866347641146,-0.1443696224864656,0.29904866347641146,-0.1443696224864656,0,0,0,0
SUNPHARMA,2026-08-07 12:35:00+05:30,0.31973974112985204,-0.12377001930172708,0.319739741129852,-0.12377001930172708,0,0,0,0
SUNPHARMA,2026-08-07 12:55:00+05:30,0.20604748876479032,-0.18029155266919153,0.20604748876479032,-0.18029155266919153,0,0,0,0
SUNPHARMA,2026-08-07 14:30:00+05:30,1.1948945989858784,-0.1339089214374798,1.1948945989858784,-0.13390892143747982,0,0,1,0
SUNPHARMA,2026-08-07 14:35:00+05:30,1.1271822604802881,-0.20073212028697487,1.1271822604802881,-0.20073212028697487,0,0,1,0
SUNPHARMA,2026-08-07 14:40:00+05:30,1.2783530323775774,-0.04639301103414948,1.2783530323775771,-0.04639301103414948,0,0,1,0
SUNPHARMA,2026-08-07 14:45:00+05:30,1.2053169939113864,-0.1081681034062672,1.2053169939113866,-0.10816810340626722,0,0,1,0
SUNPHARMA,2026-08-07 14:50:00+05:30,1.220960977810194,-0.09272715369898332,1.220960977810194,-0.09272715369898332,0,0,1,0
SUNPHARMA,2026-08-07 14:55:00+05:30,1.1219788382977354,-0.19042466144493053,1.1219788382977354,-0.19042466144493053,0,0,1,0
SUNPHARMA,2026-08-07 15:00:00+05:30,1.2313887430280015,-0.08243472439650856,1.2313887430280015,-0.08243472439650858,0,0,1,0
SUNPHARMA,2026-08-07 15:05:00+05:30,1.0283833555049204,-0.24681451602273238,1.0283833555049204,-0.2468145160227324,0,0,1,0
SUNPHARMA,2026-08-07 15:10:00+05:30,1.1896842064763091,0.16995668286098067,1.189684206476309,0.16995668286098067,0,0,1,0
SUNPHARMA,2026-08-10 11:15:00+05:30,0.11264470926139272,-0.6656426011264721,0.11264470926139272,-0.665642601126472,0,0,0,0
SUNPHARMA,2026-08-10 11:25:00+05:30,0.04097561219590269,-0.6402048655569782,0.040975612195902684,-0.6402048655569782,0,0,0,0
SUNPHARMA,2026-08-10 11:35:00+05:30,0.13852923277451712,-0.4668809040029806,0.13852923277451715,-0.46688090400298066,0,0,0,0
SUNPHARMA,2026-08-10 11:45:00+05:30,0.09231019631410256,-0.5128205128205128,0.09231019631410256,-0.5128205128205128,0,0,0,0
SUNPHARMA,2026-08-10 12:05:00+05:30,0.2872371592154165,-0.49240745312649586,0.2872371592154165,-0.4924074531264958,0,0,0,0
SUNPHARMA,2026-08-10 12:25:00+05:30,0.529586437786978,-0.251942225952654,0.5295864377869781,-0.25194222595265403,0,0,0,0
SUNPHARMA,2026-08-10 12:30:00+05:30,0.7108234564886997,-0.07211416485301858,0.7108234564886998,-0.07211416485301858,0,0,0,0
SUNPHARMA,2026-08-10 13:00:00+05:30,0.7212033974938232,0.0,0.7212033974938232,0.0,0,0,0,0
SUNPHARMA,2026-08-10 13:10:00+05:30,0.5140859680762153,-0.0873921043875656,0.5140859680762152,-0.0873921043875656,0,0,0,0
SUNPHARMA,2026-08-10 14:05:00+05:30,0.08702079200793447,-0.8395200621480676,0.08702079200793447,-0.8395200621480675,0,0,0,0
SUNPHARMA,2026-08-10 14:10:00+05:30,0.040929530690745945,-0.8851846404019376,0.040929530690745945,-0.8851846404019376,0,0,0,0
SUNPHARMA,2026-08-10 14:15:00+05:30,0.12295207039254612,-0.7633209228515625,0.1229520703925461,-0.7633209228515625,0,0,0,0
SUNPHARMA,2026-08-10 14:20:00+05:30,0.23078106280614222,-0.6564464161167117,0.23078106280614222,-0.6564464161167117,0,0,0,0
SUNPHARMA,2026-08-10 14:25:00+05:30,0.22564227764423078,-0.6615397135416667,0.22564227764423078,-0.6615397135416666,0,0,0,0
SUNPHARMA,2026-08-10 15:00:00+05:30,0.0,-0.8750371514277828,0.0,-0.8750371514277829,0,0,0,0
SUNPHARMA,2026-08-10 15:05:00+05:30,0.020509865107424564,-0.6819138977462118,0.020509865107424568,-0.6819138977462118,0,0,0,0
SUNPHARMA,2026-08-10 15:15:00+05:30,0.3291516320563266,-0.3754396593532672,0.32915163205632664,-0.3754396593532672,0,0,0,0
SUNPHARMA,2026-08-11 09:55:00+05:30,-0.005131107942617193,-0.9124486560689682,-0.005131107942617193,-0.9124486560689681,0,0,0,0
SUNPHARMA,2026-08-11 10:40:00+05:30,0.11325942875946109,-0.6898694525142783,0.11325942875946109,-0.6898694525142782,0,0,0,0
SUNPHARMA,2026-08-11 11:15:00+05:30,0.051551705063834885,-0.5567609318625155,0.05155170506383488,-0.5567609318625155,0,0,0,0
SUNPHARMA,2026-08-11 11:20:00+05:30,0.04639540196584863,-0.5618858846787633,0.046395401965848626,-0.5618858846787632,0,0,0,0
SUNPHARMA,2026-08-11 11:25:00+05:30,0.09283387458096957,-0.5157297576070139,0.09283387458096957,-0.5157297576070139,0,0,0,0
SUNPHARMA,2026-08-11 11:30:00+05:30,0.0773474945718903,-0.531121980549069,0.0773474945718903,-0.531121980549069,0,0,0,0
SUNPHARMA,2026-08-11 11:35:00+05:30,0.06187220340755921,-0.5465031820664636,0.06187220340755921,-0.5465031820664636,0,0,0,0
SUNPHARMA,2026-08-11 11:50:00+05:30,0.11880400479402946,-0.35642462560280846,0.11880400479402944,-0.35642462560280846,0,0,0,0
SUNPHARMA,2026-08-11 13:15:00+05:30,0.8691178907462493,-0.11898855810269011,0.8691178907462492,-0.1189885581026901,0,0,0,0
SUNPHARMA,2026-08-11 13:30:00+05:30,0.8273864720241337,-0.08791360012725916,0.8273864720241338,-0.08791360012725916,0,0,0,0
SUNPHARMA,2026-08-11 13:50:00+05:30,0.7024118375800295,-0.206590233492105,0.7024118375800295,-0.20659023349210504,0,0,0,0
SUNPHARMA,2026-08-11 14:05:00+05:30,0.7128124394692665,-0.1962835138494318,0.7128124394692665,-0.19628351384943182,0,0,0,0
SUNPHARMA,2026-08-11 14:10:00+05:30,0.5777402962569574,-0.33013641259992826,0.5777402962569574,-0.33013641259992826,0,0,0,0
SUNPHARMA,2026-08-11 14:25:00+05:30,0.4533770648183926,-0.4533770648183926,0.45337706481839257,-0.45337706481839257,0,0,0,0
SUNPHARMA,2026-08-11 14:40:00+05:30,0.251942225952654,-0.6529936286063668,0.25194222595265403,-0.6529936286063668,0,0,0,0
SUNPHARMA,2026-08-11 15:00:00+05:30,0.07190305745041124,-0.765241877709883,0.07190305745041126,-0.765241877709883,0,0,0,0
SUNPHARMA,2026-08-11 15:05:00+05:30,0.1182240466782318,-0.6836313969737857,0.1182240466782318,-0.6836313969737856,0,0,0,0
SUNPHARMA,2026-08-11 15:10:00+05:30,0.15447991761071062,-0.504636911849897,0.1544799176107106,-0.504636911849897,0,0,0,0
SUNPHARMA,2026-08-11 15:15:00+05:30,0.15447991761071062,-0.504636911849897,0.1544799176107106,-0.504636911849897,0,0,0,0
SUNPHARMA,2026-08-12 10:05:00+05:30,0.18064516129032257,-0.3045173891129032,0.18064516129032257,-0.3045173891129032,0,0,0,0
SUNPHARMA,2026-08-12 10:55:00+05:30,0.10836346351625864,-0.5211814571802432,0.10836346351625865,-0.5211814571802432,0,0,0,0
SUNPHARMA,2026-08-12 11:25:00+05:30,0.01548968394614356,-0.4906264401402834,0.01548968394614356,-0.4906264401402834,0,0,0,0
SUNPHARMA,2026-08-12 11:35:00+05:30,0.10861006392229118,-0.3465193261895526,0.10861006392229118,-0.3465193261895526,0,0,0,0
SUNPHARMA,2026-08-12 11:40:00+05:30,0.12932595476559514,-0.32589761716296867,0.1293259547655951,-0.32589761716296867,0,0,0,0
SUNPHARMA,2026-08-12 11:50:00+05:30,0.11896377694743279,-0.3362126848307893,0.11896377694743279,-0.3362126848307893,0,0,0,0
SUNPHARMA,2026-08-12 12:00:00+05:30,0.1811500462825985,-0.2743091364206047,0.18115004628259848,-0.2743091364206047,0,0,0,0
SUNPHARMA,2026-08-12 12:05:00+05:30,0.09307719062802013,-0.36198158151055854,0.09307719062802013,-0.36198158151055854,0,0,0,0
SUNPHARMA,2026-08-12 12:40:00+05:30,0.2069857697283312,-0.29495219518111254,0.2069857697283312,-0.29495219518111254,0,0,0,0
SUNPHARMA,2026-08-12 12:45:00+05:30,0.25355883125808537,-0.29495219518111254,0.25355883125808537,-0.29495219518111254,0,0,0,0
SUNPHARMA,2026-08-12 12:50:00+05:30,0.35178731650931194,-0.32074242999870667,0.35178731650931194,-0.32074242999870667,0,0,0,0
