date,symbol,regime,entry_price,sl_price,risk_rs,risk_pct,target_price,peak_price,rsi,vol_ratio,cpos,realized_r,pnl_per_share_rs,bars_held,outcome
2026-08-17,PIIND,NEUTRAL,1298.38,1269.0,29.38,2.26,1371.83,2536.0,35.4,1.63,0.94,2.5,73.45,2,✅ Target Hit (+2.5R)
2026-08-25,PINELABS,BEAR,163.69,155.44,8.25,5.04,184.31,173.1,40.3,5.54,0.76,-1.0,-8.25,7,❌ Stop Loss Hit (-1.0R)
2026-08-21,POWERGRID,BEAR,272.4,260.74,11.66,4.28,301.55,274.35,32.2,1.95,0.7,-0.55,-6.41,10,Holding (-0.55R)
2026-09-03,PWL,BEAR,120.6,111.83,8.77,7.27,142.52,130.7,40.0,2.38,0.89,0.66,5.79,1,Holding (+0.66R)
2026-09-02,RBLBANK,BEAR,389.4,373.12,16.28,4.18,430.1,417.05,40.0,2.4,0.81,1.53,24.91,2,Holding (+1.53R)
2026-09-03,RBLBANK,BEAR,408.1,373.12,34.98,8.57,495.55,417.05,40.1,7.28,0.83,0.18,6.3,1,Holding (+0.18R)
2026-08-25,SHREECEM,BEAR,24440.0,23760.6,679.4,2.78,26138.5,25255.0,19.1,4.09,0.88,-1.0,-679.4,4,❌ Stop Loss Hit (-1.0R)
2026-09-02,TATAPOWER,BEAR,364.0,345.26,18.74,5.15,410.85,370.75,4.7,3.08,1.0,0.21,3.94,2,Holding (+0.21R)
2026-09-03,TIPSMUSIC,NEUTRAL,652.05,625.06,26.99,4.14,719.52,656.65,39.8,1.63,0.68,-0.09,-2.43,1,Holding (-0.09R)
2026-08-31,TMCV,BEAR,471.1,457.2,13.9,2.95,505.85,477.3,39.9,3.5,0.78,-1.0,-13.9,1,❌ Stop Loss Hit (-1.0R)
2026-09-03,VIKRAMSOLR,BEAR,171.65,165.37,6.28,3.66,187.35,175.6,40.0,1.71,0.88,-0.51,-3.2,1,Holding (-0.51R)
2026-08-18,WEBELSOLAR,BEAR,86.93,80.45,6.48,7.45,103.13,87.12,32.9,2.03,1.0,-1.0,-6.48,5,❌ Stop Loss Hit (-1.0R)
2026-08-28,WIPRO,NEUTRAL,180.95,175.52,5.43,3.0,194.52,184.5,39.8,1.82,0.75,-0.84,-4.56,5,Holding (-0.84R)
2026-08-27,ZYDUSLIFE,BEAR,1189.2,1087.14,102.06,8.58,1444.35,1198.9,41.6,2.1,0.88,-0.68,-69.4,6,Holding (-0.68R)
