scanner,breakeven_tier,be_mfe_threshold,net_wr,net_er,net_pf,max_dd_r,avg_win_r,avg_loss_r,pct_5r_runners,lock_net_er,lock_net_pf
REVERSAL,BE_PLUS_08R,0.8,39.92,0.2493,1.44,565.14,2.029,0.933,,0.4306,1.82
REVERSAL,BE_PLUS_10R,1.0,39.92,0.2385,1.42,565.14,2.029,0.951,,0.4242,1.8
REVERSAL,BE_PLUS_12R,1.2,39.92,0.2274,1.39,565.14,2.029,0.97,,0.4219,1.79
REVERSAL,BE_PLUS_15R,1.5,39.92,0.2111,1.35,565.14,2.029,0.997,,0.4132,1.77
MULTITF_1H,NO_BREAKEVEN,0.0,36.58,-0.0284,0.96,100.65,1.746,1.051,,0.015,1.02
MULTITF_1H,BE_PLUS_05R,0.5,36.58,0.1056,1.2,59.54,1.746,0.84,,0.1373,1.25
MULTITF_1H,BE_PLUS_08R,0.8,36.58,0.0884,1.16,66.54,1.746,0.867,,0.1299,1.24
MULTITF_1H,BE_PLUS_10R,1.0,36.58,0.0805,1.14,66.57,1.746,0.88,,0.1192,1.21
MULTITF_1H,BE_PLUS_12R,1.2,36.58,0.0688,1.12,72.63,1.746,0.898,,0.1033,1.18
MULTITF_1H,BE_PLUS_15R,1.5,36.58,0.0486,1.08,77.5,1.746,0.93,,0.0852,1.14
SHORT_COVERING_EOD,NO_BREAKEVEN,0.0,34.67,-0.0681,0.91,517.23,1.884,1.104,,-0.0231,0.97
SHORT_COVERING_EOD,BE_PLUS_05R,0.5,34.67,0.0687,1.12,517.23,1.884,0.894,,0.1488,1.28
SHORT_COVERING_EOD,BE_PLUS_08R,0.8,34.67,0.0508,1.08,517.23,1.884,0.922,,0.1213,1.21
SHORT_COVERING_EOD,BE_PLUS_10R,1.0,34.67,0.0396,1.06,517.23,1.884,0.939,,0.1074,1.18
SHORT_COVERING_EOD,BE_PLUS_12R,1.2,34.67,0.0288,1.05,517.23,1.884,0.955,,0.0961,1.16
SHORT_COVERING_EOD,BE_PLUS_15R,1.5,34.67,0.012,1.02,517.23,1.884,0.981,,0.075,1.12
MULTIBAGGER,NO_BREAKEVEN,0.0,40.15,0.2287,1.37,73.3,2.103,1.029,7.78,0.2774,1.45
MULTIBAGGER,BE_PLUS_05R,0.5,40.15,0.3496,1.71,73.3,2.103,0.827,7.78,0.3993,1.8
MULTIBAGGER,BE_PLUS_08R,0.8,40.15,0.3371,1.66,73.3,2.103,0.848,7.78,0.3864,1.76
MULTIBAGGER,BE_PLUS_10R,1.0,40.15,0.3254,1.63,73.3,2.103,0.867,7.78,0.3713,1.71
MULTIBAGGER,BE_PLUS_12R,1.2,40.15,0.3157,1.6,73.3,2.103,0.883,7.78,0.369,1.7
MULTIBAGGER,BE_PLUS_15R,1.5,40.15,0.2991,1.55,73.3,2.103,0.911,7.78,0.3503,1.64
