rvol_parameter,is_sample_size,is_mean_mfe,is_mean_r30m,is_win_rate
1.0,11213,8.764650071307518,1.392699774806906,48.16730580576117
1.2,11213,8.764650071307518,1.392699774806906,48.16730580576117
1.5,8139,8.728280253521966,1.7090069880130485,47.966580661014866
1.8,5946,7.728194316109453,2.0622615960043937,47.62865792129162
2.0,4937,7.144345920336381,2.1604581515104884,47.62001215312943
2.5,3307,7.501774506158539,2.262769674550302,47.928636226186875
