symbol,timestamp,population,ret_5m,rvol,mfe_pct,mae_pct,r_5m,r_15m,r_30m,r_60m,r_eod,expectancy_r
SUNPHARMA,2026-08-06 13:10:00+05:30,E_SIMPLE_BREAKOUT,0.0972874763984895,1.2451836487057397,0.2608816574886536,-0.39899988391799673,0.2455331064437001,0.005114102239958048,0.03580496000478565,-0.22507669748386794,-0.19949994195899837,-0.13811822642934318
SUNPHARMA,2026-08-06 13:15:00+05:30,E_SIMPLE_BREAKOUT,0.2455331064437001,3.062980143481907,0.01531095757519281,-0.7092872730561656,-0.18370034574858063,-0.15308465962894163,-0.19390349811154475,-0.48986966500646384,-0.49497124118794594,-0.6939763154809727
SUNPHARMA,2026-08-06 13:20:00+05:30,E_SIMPLE_BREAKOUT,-0.18370034574858063,1.4303503146109513,0.14314446414152543,-0.5265542092104583,-0.056233096450400456,-0.07157223207076271,-0.005110965041935187,-0.26072162208426153,-0.158477359267331,-0.38340974506893283
SUNPHARMA,2026-08-06 13:35:00+05:30,E_SIMPLE_BREAKOUT,-0.10221291204112273,1.5678412665710506,0.14324698920907653,-0.4553078511315438,0.046044121171790096,0.06650886891083203,-0.06138799825290882,-0.2916023591476423,-0.3376464803194324,-0.3120608619224673
SUNPHARMA,2026-08-06 13:45:00+05:30,E_SIMPLE_BREAKOUT,0.015343057469363042,2.028090792408263,0.04601587007659679,-0.5163850636467574,0.005111487534617222,-0.09203174015319358,-0.29654117059804963,-0.3118756332019013,-0.3527800157438809,-0.4703691935701605
SUNPHARMA,2026-08-06 13:50:00+05:30,E_SIMPLE_BREAKOUT,0.005111487534617222,1.806635329193464,0.04090229182643149,-0.5214698963126277,-0.051124744376278126,-0.1278118609406953,-0.2556237218813906,-0.36809566318379344,-0.4294491009234407,-0.48056760448619634
SUNPHARMA,2026-08-06 13:55:00+05:30,E_SIMPLE_BREAKOUT,-0.051124744376278126,1.2992326685491629,0.09207410885549872,-0.4705857376918159,-0.04603705442774936,-0.23017902813299232,-0.23529286884590794,-0.3631701066975703,-0.3938593949808184,-0.3785116288363171
SUNPHARMA,2026-08-06 14:10:00+05:30,E_SIMPLE_BREAKOUT,-0.15357051446122344,3.9854538505215924,0.3229966074403999,-0.3793911517078954,-0.020508813845808768,-0.005125638858625993,-0.015383174987182774,-0.04614326655024353,-0.2717277020315304,-0.05639454426749552
SUNPHARMA,2026-08-06 14:30:00+05:30,E_SIMPLE_BREAKOUT,-0.020509865107424564,2.0695222655489043,0.348720452724359,-0.4205103165064103,-0.05128205128205128,-0.01025390625,0.01025390625,0.21025515825320515,-0.37948843149038464,-0.07178986378205127
SUNPHARMA,2026-08-06 14:40:00+05:30,E_SIMPLE_BREAKOUT,0.061567530624679324,1.2373984351489618,0.33843184399035603,-0.5025088197712099,-0.020505709863734678,-0.11793286921325549,-0.030764824169797294,-0.10768001428138815,-0.46661756813547894,-0.16407697578085384
SUNPHARMA,2026-08-06 15:00:00+05:30,E_SIMPLE_BREAKOUT,0.11807211504627035,1.7287629016205892,0.33843184399035603,-0.6819775966982552,-0.03589125163573097,0.04102393847585991,0.19998074616497533,-0.1486976933830528,-0.47174399560141256,-0.34354575270789917
SUNPHARMA,2026-08-06 15:05:00+05:30,E_SIMPLE_BREAKOUT,-0.03589125163573097,1.5834673608341694,0.374457493107207,-0.6463183167959733,0.0051282680655296235,0.025647601949217745,0.066686269716594,-0.21543735172480125,-0.4514002989548602,-0.27186082368876635
SUNPHARMA,2026-08-07 10:35:00+05:30,E_SIMPLE_BREAKOUT,-0.1132477710039834,1.2745541248013066,0.13399173125256003,-0.7833474052226641,0.036072519226357076,0.0206155642666153,0.015456954959741772,-0.6648126289298458,-0.15460729551917532,-0.6493556739701041
SUNPHARMA,2026-08-07 10:45:00+05:30,E_SIMPLE_BREAKOUT,-0.19061105653551605,2.901657745577335,0.258077833023264,-0.6297136930137713,0.17549418660148858,0.185814779631081,0.00516029651479622,-0.5832584229239147,0.20646226641861118,-0.37163585999050736
SUNPHARMA,2026-08-07 10:55:00+05:30,E_SIMPLE_BREAKOUT,0.0,1.341716960782064,0.13911537015393513,-0.8037972621481281,0.010302512718697249,-0.1082078319978434,-0.6079992029704446,-0.6801356610722388,0.046367596924442075,-0.6646818919941928
SUNPHARMA,2026-08-07 11:10:00+05:30,E_SIMPLE_BREAKOUT,-0.10305560108827319,2.621825782818353,0.2527479515899616,-0.6963429277356578,-0.06189463053061265,-0.5003327702160267,-0.5519137278260754,-0.45906548552654197,0.11863872110455785,-0.44359497614569593
SUNPHARMA,2026-08-07 11:15:00+05:30,E_SIMPLE_BREAKOUT,-0.06189463053061265,1.2983405454443275,0.3148374495967742,-0.6348412298387096,-0.030966481854838707,-0.5058089717741935,-0.5883883568548387,-0.15999873991935484,0.18064516129032257,-0.32000378024193554
SUNPHARMA,2026-08-07 11:20:00+05:30,E_SIMPLE_BREAKOUT,-0.030966481854838707,1.5399912711816164,0.34591104793350513,-0.6040618046730071,-0.40786949839872916,-0.4853128347141268,-0.5679177996462489,-0.04646726226020722,0.1755394894525365,-0.258150756739502
SUNPHARMA,2026-08-07 11:25:00+05:30,E_SIMPLE_BREAKOUT,-0.40786949839872916,7.2442771795158425,0.7568675783275013,-0.19699579202306894,-0.0673949625777605,-0.05184033177812338,-0.07257773012247279,0.5443234836702955,0.5184033177812338,0.5598717863044324
SUNPHARMA,2026-08-07 11:30:00+05:30,E_SIMPLE_BREAKOUT,-0.0673949625777605,2.15271018319817,0.8248184269754565,-0.12968823278125913,-0.010372525649204222,-0.0829992024933576,0.0,0.6380686382570915,0.59137960796919,0.6951301941941972
SUNPHARMA,2026-08-07 11:55:00+05:30,E_SIMPLE_BREAKOUT,0.08826788256530578,6.16945565457356,0.8300477382573341,-0.010373063623546702,0.005186531811773351,0.11413536366738841,0.6173492718812272,0.7107321755398474,0.6640407237105372,0.8196746746337875
