symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,exit_reason,holding_period_bars
ACE,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-06-12,HOLDOUT,NEUTRAL,931.05,887.51,1018.14,2.0,T1_HIT,7
ACE,TECHNICAL_CHAMPION_V1,2026-06-12,HOLDOUT,NEUTRAL,931.05,887.51,1018.14,2.0,T1_HIT,7
AGIIL,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-04-09,VAL,BULL,361.7,328.04,429.03,2.0,T1_HIT,16
AGIIL,TECHNICAL_CHAMPION_V1,2026-04-09,VAL,BULL,361.7,328.04,429.03,2.0,T1_HIT,16
ASTRAL,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-08-01,DEV,BULL,794.5,786.04,811.42,-1.0,SL_HIT,1
ASTRAL,TECHNICAL_CHAMPION_V1,2025-08-01,DEV,BULL,794.5,786.04,811.42,-1.0,SL_HIT,1
PRSMJOHNSN,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-02-27,VAL,BULL,1106.98,1093.72,1133.5,-1.0,SL_HIT,2
PRSMJOHNSN,TECHNICAL_CHAMPION_V1,2026-02-27,VAL,BULL,1106.98,1093.72,1133.5,-1.0,SL_HIT,2
VMART,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-10-31,DEV,NEUTRAL,619.5,611.81,634.87,2.0,T1_HIT,2
VMART,TECHNICAL_CHAMPION_V1,2025-10-31,DEV,NEUTRAL,619.5,611.81,634.87,2.0,T1_HIT,2
MTARTECH,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-04-17,VAL,NEUTRAL,867.12,856.51,888.36,2.0,T1_HIT,3
MTARTECH,TECHNICAL_CHAMPION_V1,2026-04-17,VAL,NEUTRAL,867.12,856.51,888.36,2.0,T1_HIT,3
KAJARIACER,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-04-01,VAL,BEAR,991.8,925.03,1125.33,2.0,T1_HIT,7
KAJARIACER,TECHNICAL_CHAMPION_V1,2026-04-01,VAL,BEAR,991.8,925.03,1125.33,2.0,T1_HIT,7
STYLAMIND,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-05-07,VAL,BULL,2634.8,2571.55,2761.29,-1.0,SL_HIT,1
STYLAMIND,TECHNICAL_CHAMPION_V1,2026-05-07,VAL,BULL,2634.8,2571.55,2761.29,-1.0,SL_HIT,1
^CNXINFRA,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-10-29,DEV,BULL,9661.85,9535.25,9915.04,-1.0,SL_HIT,5
^CNXINFRA,TECHNICAL_CHAMPION_V1,2025-10-29,DEV,BULL,9661.85,9535.25,9915.04,-1.0,SL_HIT,5
SAILIFE,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-06-19,HOLDOUT,BULL,1091.41,1078.2,1117.83,2.0,T1_HIT,2
SAILIFE,TECHNICAL_CHAMPION_V1,2026-06-19,HOLDOUT,BULL,1091.41,1078.2,1117.83,2.0,T1_HIT,2
NAM-INDIA,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-04-17,VAL,BULL,1004.09,947.83,1116.6,1.504,HORIZON_REACHED,20
NAM-INDIA,TECHNICAL_CHAMPION_V1,2026-04-17,VAL,BULL,1004.09,947.83,1116.6,1.504,HORIZON_REACHED,20
VTL,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-11-21,DEV,BULL,2657.03,2627.24,2716.62,2.0,T1_HIT,2
VTL,TECHNICAL_CHAMPION_V1,2025-11-21,DEV,BULL,2657.03,2627.24,2716.62,2.0,T1_HIT,2
MANAPPURAM,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-01-07,VAL,BULL,317.94,304.65,344.52,-1.0,SL_HIT,1
MANAPPURAM,TECHNICAL_CHAMPION_V1,2026-01-07,VAL,BULL,317.94,304.65,344.52,-1.0,SL_HIT,1
SBCL,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-02-09,VAL,BULL,514.03,480.38,581.31,-1.0,SL_HIT,7
SBCL,TECHNICAL_CHAMPION_V1,2026-02-09,VAL,BULL,514.03,480.38,581.31,-1.0,SL_HIT,7
INDUSTOWER,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-10-28,DEV,BULL,385.9,373.01,411.68,-1.0,SL_HIT,2
INDUSTOWER,TECHNICAL_CHAMPION_V1,2025-10-28,DEV,BULL,385.9,373.01,411.68,-1.0,SL_HIT,2
INDUSTOWER,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-01-01,VAL,BULL,435.8,420.2,467.0,-1.0,SL_HIT,13
INDUSTOWER,TECHNICAL_CHAMPION_V1,2026-01-01,VAL,BULL,435.8,420.2,467.0,-1.0,SL_HIT,13
GRAPHITE,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2025-08-08,DEV,BULL,711.03,703.36,726.37,2.0,T1_HIT,8
GRAPHITE,TECHNICAL_CHAMPION_V1,2025-08-08,DEV,BULL,711.03,703.36,726.37,2.0,T1_HIT,8
GLAND,TECHNICAL_CHALL_A_HIGH_CONFLUENCE,2026-05-18,VAL,BULL,2156.6,2053.76,2362.27,2.0,T1_HIT,3
GLAND,TECHNICAL_CHAMPION_V1,2026-05-18,VAL,BULL,2156.6,2053.76,2362.27,2.0,T1_HIT,3
