rvol_threshold,sample_size,mfe_p25,mfe_p50,mfe_p75,mfe_p90,mae_p50,avg_r30m
1.2,16019,0.22155505315101237,0.5785311085427317,1.4944853654448984,5.565636220657311,-0.611880683266763,1.2731314253310346
1.5,11550,0.22365482623760463,0.5886763757205411,1.5139722226131251,5.443473987973242,-0.6208556510509521,1.5065111588690787
2.0,6920,0.21527366664872719,0.569123399729924,1.4224868696176813,4.295760998021201,-0.6161273884934504,1.9918443060751654
2.5,4607,0.22159698661081917,0.5941038440801508,1.509292476997044,4.763667103993763,-0.6194252089705353,2.488051925354531
3.0,3141,0.229568415062769,0.61880135884934,1.636877834166454,5.599421178040012,-0.6241716078394755,2.27477600870326
