catalyst_state,sample_count,pct_of_total,win_rate_pct,net_expectancy_r,profit_factor,action_mandate
CATALYST_SURVIVED,249,4.7,89.2,0.857,12.08,🏆 HIGH-PRIORITY SWING ALERT (1.50R Size)
CATALYST_COOLING,607,11.4,69.9,0.322,2.9,🟡 STANDARD REVENUE (1.00R Size)
CATALYST_EXHAUSTED,401,7.5,34.7,-0.209,0.46,❌ STRICTLY VETOED (0.00R / Climax Exhaustion)
NO_CATALYST,4060,76.4,73.8,0.382,3.38,⚪ CLEAN BASELINE (1.00R Size)
