symbol,variant_id,scan_date,partition,regime,entry_price,stop_loss,target_1,realized_rr,exit_reason,holding_period_bars
VMARCIND,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-07-06,HOLDOUT,BEAR,261.38,237.38,309.39,2.0,T1_HIT,1
VMARCIND,SHORT_COVERING_CHAMPION_V1,2026-07-06,HOLDOUT,BEAR,261.38,237.38,309.39,2.0,T1_HIT,1
ITETF.NS,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-02-12,VAL,BEAR,34.93,34.28,36.24,-1.0,SL_HIT,1
ITETF.NS,SHORT_COVERING_CHAMPION_V1,2026-02-12,VAL,BEAR,34.93,34.28,36.24,-1.0,SL_HIT,1
ITETF.NS,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-04-24,VAL,BEAR,30.02,29.48,31.1,2.0,T1_HIT,2
ITETF.NS,SHORT_COVERING_CHAMPION_V1,2026-04-24,VAL,BEAR,30.02,29.48,31.1,2.0,T1_HIT,2
ITETF.NS,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-06-19,HOLDOUT,BEAR,28.99,27.76,31.46,-1.0,SL_HIT,7
ITETF.NS,SHORT_COVERING_CHAMPION_V1,2026-06-19,HOLDOUT,BEAR,28.99,27.76,31.46,-1.0,SL_HIT,7
MOTHERSON,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2025-10-03,DEV,BEAR,1272.55,1259.69,1298.28,2.0,T1_HIT,4
MOTHERSON,SHORT_COVERING_CHAMPION_V1,2025-10-03,DEV,BEAR,1272.55,1259.69,1298.28,2.0,T1_HIT,4
VIJAYA,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-01-16,VAL,NEUTRAL,987.8,954.63,1054.13,-1.0,SL_HIT,2
VIJAYA,SHORT_COVERING_CHAMPION_V1,2026-01-16,VAL,NEUTRAL,987.8,954.63,1054.13,-1.0,SL_HIT,2
KSB,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-01-30,VAL,BEAR,704.72,659.0,796.16,2.0,T1_HIT,19
KSB,SHORT_COVERING_CHAMPION_V1,2026-01-30,VAL,BEAR,704.72,659.0,796.16,2.0,T1_HIT,19
LINDEINDIA,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-06-01,HOLDOUT,BULL,6900.0,6689.55,7320.89,-1.0,SL_HIT,8
LINDEINDIA,SHORT_COVERING_CHAMPION_V1,2026-06-01,HOLDOUT,BULL,6900.0,6689.55,7320.89,-1.0,SL_HIT,8
GODREJPROP,SHORT_COVERING_CHALL_A_SQUEEZE_CONFIRMED,2026-01-21,VAL,BEAR,1636.49,1582.45,1744.57,-1.0,SL_HIT,2
GODREJPROP,SHORT_COVERING_CHAMPION_V1,2026-01-21,VAL,BEAR,1636.49,1582.45,1744.57,-1.0,SL_HIT,2
