symbol,pattern,signal_date,year,period,regime,score,entry,stop,target,risk_pct,clv,rvol,upper_wick_pct,outcome,r_multiple,holding_bars,pnl_pct,mfe,mae,exit_date,exit_price,exit_reason
FACT,HIGHER_LOW_REVERSAL,2025-08-06,2025,VAL_2025,BULL,90.0,1513.24,1456.68,1598.09,3.74,0.82,1.58,0.18,LOSS,-1.0,4,-3.74,0.0,1.02,2025-08-12,1456.68,STOP_LOSS
FEDERALBNK,HIGHER_LOW_REVERSAL,2025-09-04,2025,VAL_2025,BULL,94.0,2366.35,2280.53,2495.07,3.63,0.94,1.85,0.06,SCRATCH,-0.04,25,-0.14,0.32,0.9,2025-10-09,2363.09,TIME_EXPIRY
FIEMIND,HIGHER_LOW_REVERSAL,2026-01-26,2026,OOS_2026,BULL,80.0,1730.39,1640.14,1865.76,5.22,0.73,1.41,0.27,SCRATCH,-0.11,25,-0.58,0.71,0.44,2026-03-02,1720.3,TIME_EXPIRY
FINPIPE,HIGHER_LOW_REVERSAL,2026-02-11,2026,OOS_2026,BULL,82.0,181.52,170.63,197.86,6.0,0.75,1.56,0.25,LOSS,-1.0,25,-6.0,1.49,1.04,2026-03-19,170.63,STOP_LOSS
FINCABLES,HIGHER_LOW_REVERSAL,2026-03-10,2026,OOS_2026,BULL,82.0,1722.89,1665.65,1808.76,3.32,0.71,1.43,0.29,LOSS,-1.0,9,-3.5,0.29,1.31,2026-03-23,1662.59,STOP_LOSS
GARFIBRES,HIGHER_LOW_REVERSAL,2026-08-18,2026,OOS_2026,BULL,85.0,775.7,729.16,845.51,6.0,0.82,1.63,0.18,SCRATCH,,17,,1.64,0.66,2026-09-11,,TIME_EXPIRY
GAEL,HIGHER_LOW_REVERSAL,2025-09-19,2025,VAL_2025,BULL,79.0,1311.45,1264.03,1382.57,3.62,0.71,1.24,0.29,WIN,2.0,17,7.23,2.06,0.13,2025-10-14,1406.29,TARGET_1
GAEL,HIGHER_LOW_REVERSAL,2026-04-06,2026,OOS_2026,SIDEWAYS,90.0,1293.76,1258.71,1346.34,2.71,1.0,1.63,0.0,WIN,2.0,8,7.01,2.05,0.0,2026-04-16,1384.4,TARGET_1
GENUSPOWER,HIGHER_LOW_REVERSAL,2026-05-06,2026,OOS_2026,BULL,92.0,335.05,314.95,365.2,6.0,0.9,2.05,0.1,LOSS,-1.0,4,-6.0,0.2,1.5,2026-05-12,314.95,STOP_LOSS
GALLANTT,HIGHER_LOW_REVERSAL,2026-05-11,2026,OOS_2026,BULL,85.0,2305.01,2234.0,2411.54,3.08,0.71,1.5,0.29,WIN,2.0,20,7.0,2.13,0.16,2026-06-08,2466.37,TARGET_1
GALLANTT,HIGHER_LOW_REVERSAL,2026-05-22,2026,OOS_2026,BULL,93.0,2353.87,2281.01,2463.16,3.1,0.94,1.66,0.06,WIN,2.06,12,7.21,2.23,0.54,2026-06-09,2523.57,TARGET_1
GESHIP,HIGHER_LOW_REVERSAL,2026-03-12,2026,OOS_2026,BULL,92.0,1476.36,1387.78,1609.24,6.0,0.94,2.05,0.06,LOSS,-1.0,2,-6.0,0.25,1.6,2026-03-16,1387.78,STOP_LOSS
GNA,HIGHER_LOW_REVERSAL,2026-02-03,2026,OOS_2026,BULL,86.0,411.15,386.48,448.16,6.0,0.73,3.47,0.27,SCRATCH,0.28,25,1.69,2.25,0.91,2026-03-11,418.1,TIME_EXPIRY
GMRAIRPORT,HIGHER_LOW_REVERSAL,2026-01-22,2026,OOS_2026,BULL,87.0,706.94,681.98,744.38,3.53,0.87,1.32,0.13,WIN,2.18,24,7.7,2.28,0.77,2026-02-25,761.4,TARGET_1
GODREJAGRO,HIGHER_LOW_REVERSAL,2025-05-13,2025,VAL_2025,BULL,87.0,950.97,913.86,1006.63,3.9,0.92,1.39,0.08,WIN,1.26,25,4.92,1.52,0.57,2025-06-17,997.79,TIME_EXPIRY
GOKEX,HIGHER_LOW_REVERSAL,2026-06-18,2026,OOS_2026,BULL,87.0,2964.74,2893.59,3071.48,2.4,0.99,1.31,0.01,LOSS,-1.0,10,-3.5,0.0,1.04,2026-07-02,2860.97,STOP_LOSS
GOKULAGRO,HIGHER_LOW_REVERSAL,2025-12-15,2025,VAL_2025,BULL,93.0,1699.76,1645.39,1781.31,3.2,0.94,1.55,0.06,LOSS,-1.0,5,-3.5,0.06,1.03,2025-12-22,1640.27,STOP_LOSS
GOKULAGRO,HIGHER_LOW_REVERSAL,2026-06-01,2026,OOS_2026,BULL,80.0,1853.35,1759.85,1993.61,5.05,0.85,1.25,0.15,SCRATCH,0.23,25,1.15,0.39,0.85,2026-07-06,1874.75,TIME_EXPIRY
GPPL,HIGHER_LOW_REVERSAL,2025-12-09,2025,VAL_2025,BULL,82.0,188.89,177.56,205.88,6.0,0.87,1.33,0.13,LOSS,-1.0,23,-6.0,0.99,1.02,2026-01-12,177.56,STOP_LOSS
GRAPHITE,HIGHER_LOW_REVERSAL,2025-12-10,2025,VAL_2025,SIDEWAYS,97.0,780.67,743.64,836.22,4.74,0.88,2.01,0.12,WIN,2.05,21,9.73,2.14,0.0,2026-01-08,856.64,TARGET_1
GRAPHITE,HIGHER_LOW_REVERSAL,2026-05-28,2026,OOS_2026,BEAR,80.0,757.23,742.85,778.79,1.9,0.72,1.52,0.28,WIN,1.08,25,3.78,1.44,0.24,2026-07-02,785.85,TIME_EXPIRY
HAL,HIGHER_LOW_REVERSAL,2026-08-06,2026,OOS_2026,BULL,93.0,4910.05,4615.45,5351.95,6.0,0.89,5.66,0.11,SCRATCH,-0.2,21,-1.22,0.81,0.69,2026-09-04,4850.0,TIME_EXPIRY
HCLTECH,HIGHER_LOW_REVERSAL,2025-12-05,2025,VAL_2025,BULL,79.0,1622.94,1528.09,1765.21,5.84,0.8,1.25,0.2,LOSS,-1.0,20,-5.84,0.13,1.05,2026-01-05,1528.09,STOP_LOSS
HCLTECH,HIGHER_LOW_REVERSAL,2026-01-16,2026,OOS_2026,BULL,82.0,1649.26,1560.13,1782.97,5.4,0.92,1.27,0.08,LOSS,-1.0,12,-5.4,0.89,1.22,2026-02-04,1560.13,STOP_LOSS
HDFCAMC,HIGHER_LOW_REVERSAL,2026-07-01,2026,OOS_2026,BULL,83.0,2745.8,2607.89,2952.67,5.02,0.93,1.28,0.07,LOSS,-1.0,11,-5.02,0.67,1.15,2026-07-16,2607.89,STOP_LOSS
HDBFS,HIGHER_LOW_REVERSAL,2025-08-29,2025,VAL_2025,BULL,83.0,1937.79,1866.35,2044.95,3.69,0.81,1.3,0.19,WIN,2.0,18,7.37,2.03,0.38,2025-09-24,2080.67,TARGET_1
HEXT,HIGHER_LOW_REVERSAL,2026-06-02,2026,OOS_2026,BULL,92.0,549.65,516.67,599.12,6.0,0.93,2.25,0.07,LOSS,-1.0,4,-6.0,0.0,1.18,2026-06-08,516.67,STOP_LOSS
