scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,naive_baseline_fired,data_source_flags,gate_oversold,gate_hammer_candle,gate_vol_surge
REVERSAL,GRWRHITECH,2025-01-28 15:30:00 IST,BEAR,2025-01-28 09:15:00 IST,3447.8,3076.07,4005.4,4191.27,4377.13,4563.0,2025-02-07 15:30:00 IST,3912.05,TIME_EXPIRY,1.2489,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HAPPYFORGE,2024-12-26 15:30:00 IST,BEAR,2024-12-26 09:15:00 IST,994.8,941.15,1075.28,1102.1,1128.93,1155.75,2025-01-07 15:30:00 IST,1020.55,TIME_EXPIRY,0.48,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HATSUN,2018-01-19 15:30:00 IST,BEAR,2018-01-19 09:15:00 IST,614.95,592.93,647.98,658.99,670.0,681.01,2018-01-22 15:30:00 IST,592.93,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HATSUN,2021-03-26 15:30:00 IST,BEAR,2021-03-26 09:15:00 IST,704.35,664.92,763.5,783.22,802.94,822.66,2021-04-07 15:30:00 IST,744.1,TIME_EXPIRY,1.008,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HAVELLS,2017-02-28 15:30:00 IST,BULL,2017-02-28 09:15:00 IST,406.1,388.88,431.93,440.54,449.15,457.76,2017-03-10 15:30:00 IST,422.05,TIME_EXPIRY,0.9262,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HAVELLS,2020-05-20 15:30:00 IST,BEAR,2020-05-20 09:15:00 IST,469.6,433.83,523.25,541.14,559.02,576.9,2020-05-29 15:30:00 IST,541.14,TARGET,2.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HCLTECH,2021-10-19 15:30:00 IST,BULL,2021-10-19 09:15:00 IST,1232.1,1165.3,1332.3,1365.7,1399.11,1432.51,2021-10-25 15:30:00 IST,1165.3,STOP_LOSS,-1.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HDFCAMC,2024-11-21 15:30:00 IST,BEAR,2024-11-21 09:15:00 IST,2107.0,2008.26,2255.11,2304.48,2353.84,2403.21,2024-12-03 15:30:00 IST,2129.0,TIME_EXPIRY,0.2228,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HINDALCO,2019-01-04 15:30:00 IST,BEAR,2019-01-04 09:15:00 IST,210.9,202.0,224.25,228.7,233.15,237.6,2019-01-16 15:30:00 IST,208.4,TIME_EXPIRY,-0.2809,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HINDPETRO,2023-02-22 15:30:00 IST,BEAR,2023-02-22 09:15:00 IST,139.25,132.17,149.88,153.42,156.96,160.5,2023-02-27 15:30:00 IST,132.17,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HINDUNILVR,2025-01-22 15:30:00 IST,BEAR,2025-01-22 09:15:00 IST,2342.95,2277.62,2440.95,2473.61,2506.28,2538.95,2025-01-23 15:30:00 IST,2277.62,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HINDZINC,2023-06-15 15:30:00 IST,BEAR,2023-06-15 09:15:00 IST,303.9,298.44,312.1,314.83,317.56,320.29,2023-06-27 15:30:00 IST,305.25,TIME_EXPIRY,0.2471,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HIRECT,2023-02-06 15:30:00 IST,BEAR,2023-02-06 09:15:00 IST,106.0,97.63,118.56,122.74,126.93,131.11,2023-02-16 15:30:00 IST,104.0,TIME_EXPIRY,-0.2389,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HONASA,2025-01-31 15:30:00 IST,BEAR,2025-01-31 09:15:00 IST,220.1,206.32,240.77,247.66,254.55,261.44,2025-02-11 15:30:00 IST,206.32,STOP_LOSS,-1.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HONAUT,2025-08-04 15:30:00 IST,BEAR,2025-08-04 09:15:00 IST,38175.0,36948.0,40015.5,40629.0,41242.5,41856.0,2025-08-06 15:30:00 IST,36948.0,STOP_LOSS,-1.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HONAUT,2026-01-01 15:30:00 IST,BEAR,2026-01-01 09:15:00 IST,33050.0,32310.88,34158.69,34528.25,34897.81,35267.38,2026-01-05 15:30:00 IST,34528.25,TARGET,2.0,2,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,HPL,2018-07-23 15:30:00 IST,BEAR,2018-07-23 09:15:00 IST,66.8,61.05,75.42,78.3,81.17,84.05,2018-07-31 15:30:00 IST,78.3,TARGET,2.0,6,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ICICIGI,2018-06-14 15:30:00 IST,BEAR,2018-06-14 09:15:00 IST,722.85,694.61,765.21,779.33,793.45,807.57,2018-06-26 15:30:00 IST,722.25,TIME_EXPIRY,-0.0212,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ICICIGI,2020-02-28 15:30:00 IST,BEAR,2020-02-28 09:15:00 IST,1236.65,1169.16,1337.88,1371.63,1405.37,1439.12,2020-03-02 15:30:00 IST,1169.16,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ICICIGI,2024-10-29 15:30:00 IST,BEAR,2024-10-29 09:15:00 IST,1913.3,1831.38,2036.18,2077.14,2118.1,2159.06,2024-11-08 15:30:00 IST,1910.15,TIME_EXPIRY,-0.0385,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,IFBIND,2022-01-05 15:30:00 IST,BEAR,2022-01-05 09:15:00 IST,1125.05,1081.79,1189.94,1211.57,1233.2,1254.83,2022-01-06 15:30:00 IST,1081.79,STOP_LOSS,-1.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INDHOTEL,2018-07-06 15:30:00 IST,BEAR,2018-07-06 09:15:00 IST,123.3,117.48,132.03,134.94,137.85,140.76,2018-07-18 15:30:00 IST,125.0,TIME_EXPIRY,0.2921,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INDHOTEL,2019-01-22 15:30:00 IST,BEAR,2019-01-22 09:15:00 IST,132.85,126.45,142.45,145.64,148.84,152.04,2019-02-01 15:30:00 IST,139.4,TIME_EXPIRY,1.0238,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INDIAMART,2022-07-06 15:30:00 IST,BEAR,2022-07-06 09:15:00 IST,1867.6,1741.73,2056.41,2119.34,2182.28,2245.22,2022-07-18 15:30:00 IST,2034.2,TIME_EXPIRY,1.3236,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INDIAMART,2025-10-20 15:30:00 IST,BEAR,2025-10-20 09:15:00 IST,2334.7,2243.42,2471.61,2517.25,2562.89,2608.52,2025-10-30 15:30:00 IST,2457.9,TIME_EXPIRY,1.3498,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INDIANB,2019-09-20 15:30:00 IST,BEAR,2019-09-20 09:15:00 IST,155.0,140.31,177.04,184.38,191.73,199.08,2019-09-26 15:30:00 IST,140.31,STOP_LOSS,-1.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INDIANHUME,2017-03-27 15:30:00 IST,BEAR,2017-03-27 09:15:00 IST,369.95,353.27,394.98,403.32,411.66,420.0,2017-04-03 15:30:00 IST,403.32,TARGET,2.0,5,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INDIASHLTR,2025-11-12 15:30:00 IST,BEAR,2025-11-12 09:15:00 IST,844.4,807.6,899.59,917.99,936.39,954.78,2025-11-18 15:30:00 IST,917.99,TARGET,2.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INDRAMEDCO,2023-03-29 15:30:00 IST,BEAR,2023-03-29 09:15:00 IST,76.8,73.43,81.85,83.54,85.22,86.9,2023-04-10 15:30:00 IST,83.1,TIME_EXPIRY,1.8708,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INDUSTOWER,2018-01-19 15:30:00 IST,BEAR,2018-01-19 09:15:00 IST,346.05,331.69,367.59,374.77,381.95,389.13,2018-01-31 15:30:00 IST,346.85,TIME_EXPIRY,0.0557,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INFY,2022-09-01 15:30:00 IST,BEAR,2022-09-01 09:15:00 IST,1464.2,1417.24,1534.64,1558.12,1581.6,1605.08,2022-09-13 15:30:00 IST,1544.95,TIME_EXPIRY,1.7195,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INGERRAND,2026-07-27 15:30:00 IST,BULL,2026-07-27 09:15:00 IST,4378.9,4187.54,4665.94,4761.62,4857.31,4952.99,2026-08-06 15:30:00 IST,4337.9,TIME_EXPIRY,-0.2143,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INSECTICID,2026-06-22 15:30:00 IST,BEAR,2026-06-22 09:15:00 IST,688.9,655.6,738.84,755.49,772.14,788.79,2026-06-25 15:30:00 IST,655.6,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,INTELLECT,2019-09-30 15:30:00 IST,BEAR,2019-09-30 09:15:00 IST,182.4,170.37,200.44,206.46,212.48,218.49,2019-10-10 15:30:00 IST,183.9,TIME_EXPIRY,0.1247,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,IONEXCHANG,2025-06-20 15:30:00 IST,BEAR,2025-06-20 09:15:00 IST,511.6,483.58,553.62,567.63,581.64,595.65,2025-07-02 15:30:00 IST,543.1,TIME_EXPIRY,1.1243,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,IREDA,2024-10-23 15:30:00 IST,BEAR,2024-10-23 09:15:00 IST,200.42,185.42,222.91,230.41,237.91,245.41,2024-11-04 15:30:00 IST,205.38,TIME_EXPIRY,0.3307,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,ITC,2019-09-20 15:30:00 IST,BEAR,2019-09-20 09:15:00 IST,238.05,230.12,249.95,253.91,257.88,261.84,2019-09-23 15:30:00 IST,253.91,TARGET,2.0,1,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,JAGSNPHARM,2022-05-11 15:30:00 IST,BEAR,2022-05-11 09:15:00 IST,113.2,100.62,132.08,138.37,144.66,150.95,2022-05-23 15:30:00 IST,124.3,TIME_EXPIRY,0.882,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,JAYBARMARU,2025-11-11 15:30:00 IST,BEAR,2025-11-11 09:15:00 IST,86.62,80.5,95.79,98.85,101.91,104.97,2025-11-17 15:30:00 IST,98.85,TARGET,2.0,4,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,JKLAKSHMI,2025-12-05 15:30:00 IST,BEAR,2025-12-05 09:15:00 IST,750.25,723.58,790.25,803.58,816.92,830.25,2025-12-17 15:30:00 IST,766.4,TIME_EXPIRY,0.6056,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,JSL,2018-05-09 15:30:00 IST,BEAR,2018-05-09 09:15:00 IST,85.6,77.63,97.55,101.54,105.52,109.51,2018-05-21 15:30:00 IST,78.8,TIME_EXPIRY,-0.8533,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KAJARIACER,2022-03-08 15:30:00 IST,BEAR,2022-03-08 09:15:00 IST,910.1,832.76,1026.11,1064.78,1103.45,1142.12,2022-03-17 15:30:00 IST,1064.78,TARGET,2.0,7,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KAJARIACER,2024-03-27 15:30:00 IST,BEAR,2024-03-27 09:15:00 IST,1146.9,1093.49,1227.02,1253.72,1280.43,1307.13,2024-04-01 15:30:00 IST,1253.72,TARGET,2.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KARURVYSYA,2019-02-07 15:30:00 IST,BEAR,2019-02-07 09:15:00 IST,71.35,68.66,75.38,76.72,78.06,79.4,2019-02-12 15:30:00 IST,68.66,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KERNEX,2022-05-09 15:30:00 IST,BULL,2022-05-09 09:15:00 IST,174.3,156.04,201.69,210.82,219.96,229.09,2022-05-12 15:30:00 IST,156.04,STOP_LOSS,-1.0,3,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KIMS,2022-02-22 15:30:00 IST,BEAR,2022-02-22 09:15:00 IST,244.65,227.85,269.85,278.25,286.65,295.05,2022-03-04 15:30:00 IST,257.5,TIME_EXPIRY,0.7649,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
REVERSAL,KINGFA,2017-02-02 15:30:00 IST,BEAR,2017-02-02 09:15:00 IST,840.2,800.0,900.5,920.6,940.7,960.8,2017-02-14 15:30:00 IST,800.0,STOP_LOSS,-1.0,8,83.0,True,UPSTOX_V3_FRESH_2026-09-26,True,True,True
