regime,system_type,N,win_rate_pct,mean_R,ci_95_low,ci_95_high,p_value_vs_naive,cohen_d,max_drawdown_R,median_holding_period
BULL,FULL_SCANNER,21,38.1,-0.118,-0.5742,0.3801,0.3321,-0.2135,5.9,4
BULL,NAIVE_BASELINE,3141,48.17,0.1107,0.0742,0.1484,1.0,0.0,22.32,8
BEAR,FULL_SCANNER,289,44.64,0.0627,-0.0611,0.1933,0.7918,0.0158,15.85,7
BEAR,NAIVE_BASELINE,33428,45.95,0.0459,0.0348,0.0574,1.0,0.0,55.51,8
SIDEWAYS,FULL_SCANNER,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SIDEWAYS,NAIVE_BASELINE,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
OVERALL,FULL_SCANNER,310,44.19,0.0505,-0.0718,0.1743,0.9868,-0.001,18.69,7
OVERALL,NAIVE_BASELINE,36569,46.14,0.0515,0.0405,0.0623,1.0,0.0,59.07,8
