regime,system_type,N,win_rate_pct,mean_R,ci_95_low,ci_95_high,p_value_vs_naive,cohen_d,max_drawdown_R,median_holding_period
BULL,FULL_SCANNER,31027,37.53,0.2661,0.2472,0.285,0.9622,0.0004,40.71,20
BULL,NAIVE_BASELINE,31751,37.43,0.2654,0.2469,0.2843,1.0,0.0,43.21,20
BEAR,FULL_SCANNER,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
BEAR,NAIVE_BASELINE,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SIDEWAYS,FULL_SCANNER,6264,38.98,0.197,0.1568,0.2363,0.7884,0.0046,37.43,29
SIDEWAYS,NAIVE_BASELINE,6859,38.31,0.1896,0.1514,0.2269,1.0,0.0,41.43,28
OVERALL,FULL_SCANNER,37291,37.77,0.2545,0.2374,0.2717,0.8448,0.0015,54.94,22
OVERALL,NAIVE_BASELINE,38610,37.58,0.252,0.2353,0.269,1.0,0.0,56.18,21
