entry_timestamp,r_multiple,cum_r
2021-03-01 09:15:00 IST,-1.0,-1.0
2021-03-31 09:15:00 IST,-1.0,-2.0
2021-05-03 09:15:00 IST,3.0,1.0
2021-06-01 09:15:00 IST,3.0,4.0
2021-06-29 09:15:00 IST,3.0,7.0
2021-07-28 09:15:00 IST,3.0,10.0
2021-08-26 09:15:00 IST,0.0167,10.0167
2021-09-24 09:15:00 IST,-1.0,9.0167
2021-10-25 09:15:00 IST,-1.0,8.0167
2021-11-24 09:15:00 IST,-1.0,7.0167
2021-12-22 09:15:00 IST,1.4412,8.4579
2022-01-19 09:15:00 IST,-1.0,7.4579
2022-02-17 09:15:00 IST,-1.0,6.4579
2022-03-21 09:15:00 IST,-1.0,5.4579
2022-04-20 09:15:00 IST,-1.0,4.4579
2022-05-19 09:15:00 IST,-1.0,3.4579000000000004
2022-08-12 09:15:00 IST,0.8345,4.292400000000001
2022-09-13 09:15:00 IST,0.4799,4.7723
2022-10-12 09:15:00 IST,-0.1845,4.5878000000000005
2022-11-11 09:15:00 IST,0.6677,5.2555000000000005
2022-12-09 09:15:00 IST,0.086,5.341500000000001
2023-01-06 09:15:00 IST,-1.0,4.341500000000001
2023-02-06 09:15:00 IST,-1.0,3.341500000000001
2023-03-06 09:15:00 IST,-1.0,2.341500000000001
2023-04-06 09:15:00 IST,-1.0,1.3415000000000008
2023-07-05 09:15:00 IST,0.7159,2.057400000000001
2023-08-02 09:15:00 IST,0.5246,2.5820000000000007
2023-08-31 09:15:00 IST,1.8339,4.415900000000001
2023-09-29 09:15:00 IST,3.0,7.415900000000001
2023-10-31 09:15:00 IST,3.0,10.4159
2023-11-29 09:15:00 IST,3.0,13.4159
2023-12-28 09:15:00 IST,-1.0,12.4159
2024-01-25 09:15:00 IST,3.0,15.4159
2024-02-23 09:15:00 IST,-1.0,14.4159
2024-03-22 09:15:00 IST,3.0,17.4159
2024-04-25 09:15:00 IST,-1.0,16.4159
2024-05-24 09:15:00 IST,-1.0,15.4159
2024-06-24 09:15:00 IST,3.0,18.4159
2024-07-23 09:15:00 IST,1.3508,19.7667
2024-08-21 09:15:00 IST,-1.0,18.7667
2024-09-18 09:15:00 IST,-1.0,17.7667
2024-10-17 09:15:00 IST,-1.0,16.7667
2024-11-14 09:15:00 IST,3.0,19.7667
2024-12-16 09:15:00 IST,-1.0,18.7667
2025-01-14 09:15:00 IST,-1.0,17.7667
2025-06-11 09:15:00 IST,-0.5692,17.1975
2025-07-09 09:15:00 IST,-1.0,16.1975
2025-10-06 09:15:00 IST,1.3801,17.5776
2025-11-04 09:15:00 IST,0.263,17.840600000000002
2025-12-03 09:15:00 IST,-1.0,16.840600000000002
2026-01-01 09:15:00 IST,-1.0,15.840600000000002
2026-02-01 09:15:00 IST,-1.0,14.840600000000002
2017-07-19 09:15:00 IST,0.7607,15.601300000000002
2017-08-17 09:15:00 IST,1.0046,16.605900000000002
2017-09-15 09:15:00 IST,1.1893,17.7952
2017-10-16 09:15:00 IST,3.0,20.7952
2017-11-15 09:15:00 IST,3.0,23.7952
2017-12-13 09:15:00 IST,3.0,26.7952
2018-01-11 09:15:00 IST,3.0,29.7952
2018-02-09 09:15:00 IST,0.9751,30.770300000000002
2018-03-13 09:15:00 IST,-1.0,29.770300000000002
2018-04-12 09:15:00 IST,-1.0,28.770300000000002
2018-05-11 09:15:00 IST,-1.0,27.770300000000002
2018-06-08 09:15:00 IST,3.0,30.770300000000002
2018-07-06 09:15:00 IST,3.0,33.770300000000006
2018-08-03 09:15:00 IST,-1.0,32.770300000000006
2018-09-04 09:15:00 IST,-1.0,31.770300000000006
2018-10-05 09:15:00 IST,-1.0,30.770300000000006
2018-12-06 09:15:00 IST,-1.0,29.770300000000006
2019-03-01 09:15:00 IST,-0.0828,29.687500000000007
2019-04-02 09:15:00 IST,-1.0,28.687500000000007
2019-05-06 09:15:00 IST,-1.0,27.687500000000007
2019-06-03 09:15:00 IST,-1.0,26.687500000000007
2019-07-02 09:15:00 IST,-1.0,25.687500000000007
2019-10-31 09:15:00 IST,-0.101,25.586500000000008
2019-11-29 09:15:00 IST,-0.5363,25.050200000000007
2020-01-27 09:15:00 IST,-1.0,24.050200000000007
2020-07-22 09:15:00 IST,-1.0,23.050200000000007
2020-08-19 09:15:00 IST,-1.0,22.050200000000007
2020-11-12 09:15:00 IST,-1.0,21.050200000000007
2020-12-11 09:15:00 IST,-1.0,20.050200000000007
2021-01-11 09:15:00 IST,-1.0,19.050200000000007
2021-02-09 09:15:00 IST,3.0,22.050200000000007
2021-03-09 09:15:00 IST,-1.0,21.050200000000007
2021-04-09 09:15:00 IST,-1.0,20.050200000000007
2021-05-11 09:15:00 IST,-0.2276,19.82260000000001
2021-06-09 09:15:00 IST,-1.0,18.82260000000001
2021-07-07 09:15:00 IST,0.5697,19.39230000000001
2021-08-05 09:15:00 IST,0.9924,20.38470000000001
2021-09-03 09:15:00 IST,0.2285,20.61320000000001
2021-10-04 09:15:00 IST,-0.1911,20.42210000000001
2021-11-02 09:15:00 IST,-1.0,19.42210000000001
2022-07-22 09:15:00 IST,0.1285,19.55060000000001
2022-09-21 09:15:00 IST,0.0641,19.61470000000001
2022-10-20 09:15:00 IST,-1.0,18.61470000000001
2022-11-21 09:15:00 IST,-1.0,17.61470000000001
2022-12-19 09:15:00 IST,0.1442,17.75890000000001
2023-01-16 09:15:00 IST,0.1804,17.93930000000001
2023-02-14 09:15:00 IST,0.5231,18.46240000000001
2023-03-15 09:15:00 IST,2.5523,21.01470000000001
2023-05-17 09:15:00 IST,3.0,24.01470000000001
2023-06-14 09:15:00 IST,2.1194,26.134100000000007
2023-07-13 09:15:00 IST,0.8829,27.017000000000007
2023-08-10 09:15:00 IST,1.4938,28.510800000000007
2023-09-08 09:15:00 IST,-1.0,27.510800000000007
2023-10-10 09:15:00 IST,3.0,30.510800000000007
2023-11-08 09:15:00 IST,3.0,33.5108
