symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_pattern_type,gate_clv_floor,gate_rvol_floor,gate_upper_wick,gate_risk_pct,naive_baseline_fired,data_source_flags
AARTIIND,2025-11-28 15:30:00 IST,BULL,2025-11-28 09:15:00 IST,2049.62,1926.65,2234.08,2295.56,2357.04,2418.53,2025-11-30 15:30:00 IST,1926.65,STOP_LOSS,-1.0,1,100.0,SHAKEOUT_RECLAIM,True,True,True,6.0,True,NONE
AARTIIND,2026-01-28 15:30:00 IST,BULL,2026-01-28 09:15:00 IST,2129.02,2001.28,2320.63,2384.5,2448.37,2512.24,2026-01-28 15:30:00 IST,2001.28,STOP_LOSS,-1.0,1,95.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
AARTIIND,2026-03-16 15:30:00 IST,BULL,2026-03-16 09:15:00 IST,2156.49,2027.1,2350.57,2415.27,2479.96,2544.66,2026-03-16 15:30:00 IST,2027.1,STOP_LOSS,-1.0,1,99.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
AARTIIND,2026-04-10 15:30:00 IST,BULL,2026-04-10 09:15:00 IST,2138.72,2010.39,2331.21,2395.38,2459.54,2523.71,2026-04-12 15:30:00 IST,2010.39,STOP_LOSS,-1.0,1,97.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
AARTIIND,2026-05-18 15:30:00 IST,BULL,2026-05-18 09:15:00 IST,2119.31,2026.66,2258.29,2304.61,2350.93,2397.26,2026-05-18 15:30:00 IST,2026.66,STOP_LOSS,-1.0,1,94.0,DOUBLE_BOTTOM,True,True,True,4.37,True,NONE
AARTIIND,2026-05-22 15:30:00 IST,BULL,2026-05-22 09:15:00 IST,2149.93,2020.94,2343.42,2407.91,2472.4,2536.9,2026-05-24 15:30:00 IST,2020.94,STOP_LOSS,-1.0,1,90.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
AARTIIND,2026-05-28 15:30:00 IST,BULL,2026-05-28 09:15:00 IST,2148.64,2019.72,2342.02,2406.48,2470.94,2535.4,2026-05-28 15:30:00 IST,2019.72,STOP_LOSS,-1.0,1,96.0,SHAKEOUT_RECLAIM,True,True,True,6.0,True,NONE
AARTIIND,2026-07-22 15:30:00 IST,BULL,2026-07-22 09:15:00 IST,2134.38,2006.32,2326.48,2390.5,2454.53,2518.56,2026-07-22 15:30:00 IST,2006.32,STOP_LOSS,-1.0,1,87.0,HIGHER_LOW_REVERSAL,True,True,True,6.0,True,NONE
ABB,2026-01-29 15:30:00 IST,SIDEWAYS,2026-01-29 09:15:00 IST,5451.7,5185.75,5850.63,5983.6,6116.57,6249.55,2026-02-09 15:30:00 IST,5850.63,TARGET_1,1.5,8,95.0,MULTI_MONTH_BASE_BREAKOUT,True,True,True,4.88,True,NONE
ABB,2026-04-09 15:30:00 IST,BULL,2026-04-09 09:15:00 IST,6587.06,6266.21,7068.33,7228.76,7389.19,7549.61,2026-04-19 15:30:00 IST,7068.33,TARGET_1,1.5,6,85.0,DOUBLE_BOTTOM,True,True,True,4.87,True,NONE
ABB,2026-08-03 15:30:00 IST,BULL,2026-08-03 09:15:00 IST,7512.56,7061.81,8188.68,8414.06,8639.44,8864.81,2026-09-09 15:30:00 IST,7329.0,TIMEOUT_20D,-0.41,20,97.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
ABFRL,2026-04-13 15:30:00 IST,SIDEWAYS,2026-04-13 09:15:00 IST,61.96,58.24,67.54,69.4,71.26,73.12,2026-05-06 15:30:00 IST,67.54,TARGET_1,1.5,17,84.0,V_REVERSAL,True,True,True,6.0,True,NONE
ABFRL,2026-05-04 15:30:00 IST,BULL,2026-05-04 09:15:00 IST,65.93,61.97,71.87,73.85,75.83,77.81,2026-05-17 15:30:00 IST,61.97,STOP_LOSS,-1.0,10,93.0,SHAKEOUT_RECLAIM,True,True,True,6.01,True,NONE
