regime,system_type,N,win_rate_pct,mean_R,ci_95_low,ci_95_high,p_value_vs_naive,cohen_d,gate5_pass
BULL,FULL_SCANNER,44174,46.04,0.12,0.1094,0.1306,0.2385,-0.0051,PASS
BULL,NAIVE_BASELINE,121284,45.89,0.1259,0.1194,0.1326,1.0,0.0,N/A
BEAR,FULL_SCANNER,0,0.0,0.0,0.0,0.0,1.0,0.0,UNDERPOWERED
BEAR,NAIVE_BASELINE,0,0.0,0.0,0.0,0.0,1.0,0.0,N/A
SIDEWAYS,FULL_SCANNER,0,0.0,0.0,0.0,0.0,1.0,0.0,UNDERPOWERED
SIDEWAYS,NAIVE_BASELINE,81089,44.04,0.0778,0.0701,0.0858,1.0,0.0,N/A
OVERALL,FULL_SCANNER,44174,46.04,0.12,0.1094,0.1308,0.0083,0.0116,PASS
OVERALL,NAIVE_BASELINE,202373,45.15,0.1066,0.1017,0.1117,1.0,0.0,N/A
