regime,r_multiple
SIDEWAYS,2.0000000000000004
BULL,-0.9999999999999992
SIDEWAYS,2.0000000000000004
SIDEWAYS,0.22055704792874292
SIDEWAYS,0.3346358080352668
SIDEWAYS,0.3444111933637839
SIDEWAYS,0.6895386175426742
SIDEWAYS,0.5823646823999065
SIDEWAYS,1.461894992781702
SIDEWAYS,2.0
SIDEWAYS,2.000000000000001
SIDEWAYS,-0.32040557667934116
SIDEWAYS,1.0281235592438918
SIDEWAYS,2.0000000000000027
SIDEWAYS,2.0000000000000013
SIDEWAYS,0.6219426974143938
SIDEWAYS,1.235087719298245
BULL,2.0000000000000013
BULL,2.0
BULL,2.0000000000000018
BULL,1.1681230861154683
BULL,2.000000000000001
BULL,-1.0000000000000009
BULL,-1.0000000000000009
BULL,-1.0
BULL,-0.17065366448270564
BULL,-0.10178117048346055
BULL,0.04840417486008124
BULL,-0.012580594433085058
BULL,-0.2530824140168732
BULL,-0.42834508004152394
BULL,-1.0000000000000016
BULL,-0.9999999999999989
BULL,-1.0000000000000009
BULL,-0.9999999999999983
BULL,-0.9999999999999983
BULL,-1.0000000000000009
BULL,1.1111111111111116
BULL,1.999999999999998
BULL,0.8319862054100665
BULL,2.0000000000000004
BULL,-0.9999999999999997
BULL,2.0
BULL,2.0000000000000004
BULL,-0.9999999999999987
BULL,-0.36135508155583473
BULL,-0.9999999999999991
BULL,0.8741408934707913
BULL,1.1696284329563804
BULL,-0.12158714650165606
BULL,-0.9999999999999989
BULL,1.6916570549788543
BULL,1.8041530733778683
BULL,1.5332926084300542
BULL,0.8479661600511539
BULL,-0.10252185454711725
BULL,1.999999999999999
BULL,2.0000000000000004
BULL,2.0000000000000004
BULL,-1.0000000000000007
BULL,-0.9999999999999994
SIDEWAYS,0.14591039868475186
SIDEWAYS,0.49543946932006605
SIDEWAYS,0.8005974607916345
SIDEWAYS,0.6618962432915937
BULL,0.9113825867752571
BULL,0.37291116974494365
BULL,0.08037892923783639
BULL,0.23280423280423107
BULL,-0.2800119154006558
BULL,-0.47036237101031914
BULL,-0.04077471967380269
BULL,-0.1931483175764969
BULL,-0.45998160073597055
BULL,0.3517138599105822
BULL,-0.42283298097251576
BULL,-0.039254170755644274
BULL,-0.06866952789699568
BULL,-0.999999999999999
BULL,-1.0
BULL,-0.9999999999999991
BULL,-0.9999999999999988
BULL,-0.41264904095386173
BULL,0.8936883261962387
BULL,-1.0000000000000007
BULL,-1.000000000000001
BULL,0.08426511100307843
BULL,0.10634338278300633
BULL,-0.29966977179752435
BULL,-0.24749071909803383
BULL,-0.48309178743961345
BULL,-0.3632656843666
BULL,-0.7943346704303473
BULL,-0.7328213622446418
BULL,-1.000000000000001
BULL,-0.9999999999999988
BULL,-0.9999999999999996
SIDEWAYS,0.09488827670645918
SIDEWAYS,0.9094485091652886
SIDEWAYS,1.3001787745815043
SIDEWAYS,1.2635320730328006
SIDEWAYS,1.4088420364468384
SIDEWAYS,1.303482587064675
SIDEWAYS,1.4753566796368351
SIDEWAYS,1.1089619600257887
SIDEWAYS,2.000000000000001
SIDEWAYS,1.999999999999998
SIDEWAYS,2.0
BULL,-1.0
BULL,-0.9999999999999989
BULL,-0.9999999999999997
BULL,1.9999999999999987
BULL,1.9999999999999987
BULL,2.000000000000001
BULL,2.0000000000000027
BULL,-1.0
BULL,-0.6426332288401276
BULL,-1.0000000000000004
BULL,-0.27893299726948173
BULL,-1.0000000000000007
BULL,-0.9999999999999994
BULL,0.04985325453303001
BULL,-0.10416666666666854
BULL,0.6498896247240613
BULL,0.46417487518553435
BULL,0.2020496381562945
BULL,-0.999999999999999
BULL,1.0542332355178785
BULL,0.8228268082282639
BULL,0.5915011744608165
BULL,0.7247552598842554
BULL,1.2980286454204293
BULL,0.6017094017094008
BULL,0.6925892945483328
BULL,0.7923133776792322
BULL,0.1579640193067117
BULL,0.4610339506172814
BULL,2.0000000000000004
BULL,2.0000000000000013
BULL,2.000000000000001
BULL,2.0000000000000013
BULL,-1.0000000000000009
BULL,-1.0000000000000013
BULL,-0.9999999999999982
BULL,1.9999999999999982
BULL,2.0
BULL,-0.2950741651463456
BULL,-0.9999999999999994
BULL,0.662486938349008
BULL,0.5953878406708588
BULL,1.387818041634541
BULL,1.9999999999999993
BULL,0.5642007820604901
BULL,0.7950231550493905
BULL,1.3446617008069512
BULL,1.167509738938311
BULL,1.4930177023308917
BULL,2.0000000000000004
BULL,2.0000000000000004
BULL,2.0
BULL,-0.9999999999999994
BULL,-1.0000000000000004
BULL,-1.0000000000000004
BULL,-1.0000000000000004
BULL,-0.9999999999999991
BULL,-0.9999999999999996
BULL,-1.0000000000000007
BULL,-1.0000000000000004
BULL,-1.0000000000000004
BULL,-1.0
BULL,0.9474318421449025
BULL,0.6207400194741968
BULL,-0.9999999999999997
BULL,-0.9999999999999984
BULL,-1.000000000000001
BULL,-0.9999999999999997
SIDEWAYS,0.03875060547821087
SIDEWAYS,-0.23760566598126565
SIDEWAYS,-0.5995248812203053
SIDEWAYS,0.6455975835174237
SIDEWAYS,0.7287611061195964
SIDEWAYS,0.593709666462875
BULL,-0.9999999999999982
BULL,-1.0000000000000016
BULL,-0.9999999999999987
BULL,-0.9999999999999986
SIDEWAYS,2.0
SIDEWAYS,1.999999999999997
BULL,1.9999999999999978
BULL,2.000000000000001
BULL,-0.3341902313624658
BULL,1.2724238631622862
BULL,0.6462071664151124
BULL,-0.04494382022471716
BULL,0.3143781784558475
BULL,0.704537942107002
BULL,1.2162806214850819
BULL,0.8060639674616408
BULL,0.5335587807054599
BULL,0.8714232627276082
BULL,1.0550351833729426
BULL,1.0366502272507525
BULL,1.096339113680152
BULL,1.1758376131083381
BULL,-1.0000000000000002
BULL,-1.0000000000000004
BULL,-0.9999999999999986
BULL,-1.0000000000000004
