symbol,count,mean_R,win_rate
GRANULES,49,0.4266,0.388
GOODLUCK,48,0.3533,0.333
SRF,48,0.3275,0.396
SIRCA,48,0.0998,0.312
EDELWEISS,48,-0.0833,0.229
JKIL,48,0.1948,0.312
TORNTPOWER,48,0.1785,0.312
MSTCLTD,48,0.25,0.312
ANANTRAJ,48,0.6667,0.417
AMRUTANJAN,48,0.0305,0.25
DLF,48,0.188,0.312
ZENSARTECH,48,0.3359,0.354
NRBBEARING,48,0.3736,0.354
NDRAUTO,47,0.9574,0.489
VINATIORGA,47,0.0493,0.298
MUTHOOTFIN,47,0.4268,0.404
LTTS,47,0.3649,0.383
NUCLEUS,47,0.1915,0.298
KPITTECH,47,0.6693,0.426
KIRLOSENG,47,0.6752,0.426
RANEHOLDIN,47,0.1373,0.298
REDINGTON,47,0.3791,0.362
GHCL,47,0.099,0.277
JAMNAAUTO,47,0.4357,0.383
EVEREADY,47,0.2888,0.319
JAGSNPHARM,47,0.2766,0.319
TBZ,46,0.2499,0.326
DBL,46,0.4591,0.37
OBEROIRLTY,46,0.2912,0.37
LAURUSLABS,46,0.6628,0.435
LINCOLN,46,0.3186,0.391
INDIANHUME,46,-0.1304,0.217
SATIN,46,0.1304,0.283
KRBL,46,-0.1728,0.217
APCOTEXIND,46,0.2199,0.326
TATAELXSI,46,0.5119,0.391
HGINFRA,46,0.0722,0.283
DEEPINDS,46,0.3043,0.326
ITDC,46,-0.0274,0.239
EKC,46,0.2174,0.304
EIHOTEL,46,0.1837,0.326
BANKINDIA,46,0.0068,0.283
GIPCL,46,0.1436,0.304
TIINDIA,46,0.853,0.478
COCHINSHIP,46,0.398,0.37
RESPONIND,46,0.2242,0.326
PNCINFRA,45,0.1412,0.311
HATSUN,45,0.0214,0.267
IPCALAB,45,0.2245,0.356
VSSL,45,0.4214,0.378
SKMEGGPROD,45,0.2444,0.311
TDPOWERSYS,45,0.766,0.444
ENGINERSIN,45,0.1955,0.289
HINDALCO,45,0.2903,0.356
MPSLTD,45,0.3728,0.356
MOIL,45,0.046,0.267
ASTERDM,45,0.436,0.4
SONATSOFTW,45,0.5195,0.4
GODREJIND,45,0.2578,0.356
SPARC,45,0.1839,0.311
KNRCON,45,0.121,0.289
KPRMILL,45,0.4362,0.4
CDSL,45,0.655,0.422
KRISHNADEF,45,0.6,0.4
GICRE,44,0.318,0.341
FDC,44,0.1519,0.318
GULFOILLUB,44,-0.0124,0.25
NESCO,44,0.0558,0.318
TCIEXP,44,0.0637,0.273
AJMERA,44,0.1819,0.318
GESHIP,44,0.3846,0.386
GREENPLY,44,-0.0605,0.25
STYRENIX,44,0.5718,0.409
ENDURANCE,44,0.2078,0.341
ESCORTS,44,0.4122,0.364
SIGMAADV,44,0.3636,0.341
HINDPETRO,44,0.1592,0.318
CENTURYPLY,44,0.1563,0.295
PRSMJOHNSN,44,-0.1574,0.273
GODREJPROP,44,0.5425,0.386
GANDHITUBE,44,0.1441,0.341
CIEINDIA,44,0.2601,0.341
EXPLEOSOL,44,-0.0582,0.25
VAIBHAVGBL,44,0.3313,0.364
MARKSANS,44,0.3636,0.341
NEWGEN,43,0.7289,0.442
JINDALSAW,43,0.3023,0.326
JAYBARMARU,43,-0.0259,0.256
JKLAKSHMI,43,-0.0159,0.279
REFEX,43,0.2093,0.302
MAYURUNIQ,43,0.2516,0.326
JUBLFOOD,43,0.2362,0.349
HINDZINC,43,0.0462,0.302
LTM,43,0.5749,0.442
OIL,43,0.5798,0.419
BALKRISIND,43,0.3225,0.395
THERMAX,43,0.6071,0.442
BANKBARODA,43,0.1136,0.326
BASF,43,0.3208,0.349
AUTOAXLES,43,0.1139,0.326
BAJFINANCE,43,0.2502,0.349
TATAPOWER,43,0.2535,0.326
CEATLTD,43,0.2095,0.326
DCBBANK,43,-0.1591,0.233
SUPRAJIT,43,0.0615,0.302
