entry_timestamp,r_multiple,cum_r
2021-03-01 09:15:00 IST,-1.0,-1.0
2021-03-31 09:15:00 IST,-1.0,-2.0
2021-05-03 09:15:00 IST,3.0,1.0
2021-06-01 09:15:00 IST,3.0,4.0
2021-06-29 09:15:00 IST,3.0,7.0
2021-07-28 09:15:00 IST,3.0,10.0
2021-08-26 09:15:00 IST,-1.0,9.0
2021-09-24 09:15:00 IST,-1.0,8.0
2021-10-25 09:15:00 IST,-1.0,7.0
2021-11-24 09:15:00 IST,-1.0,6.0
2021-12-22 09:15:00 IST,3.0,9.0
2022-01-19 09:15:00 IST,-1.0,8.0
2022-02-17 09:15:00 IST,-1.0,7.0
2022-03-21 09:15:00 IST,-1.0,6.0
2022-04-20 09:15:00 IST,-1.0,5.0
2022-05-19 09:15:00 IST,-1.0,4.0
2022-08-12 09:15:00 IST,0.6972,4.6972000000000005
2022-09-13 09:15:00 IST,1.5627,6.2599
2022-10-12 09:15:00 IST,0.204,6.4639
2022-11-11 09:15:00 IST,-1.0,5.4639
2022-12-09 09:15:00 IST,-1.0,4.4639
2023-01-06 09:15:00 IST,-1.0,3.4638999999999998
2023-02-06 09:15:00 IST,-1.0,2.4638999999999998
2023-03-06 09:15:00 IST,-1.0,1.4638999999999998
2023-04-06 09:15:00 IST,-1.0,0.46389999999999976
2023-07-05 09:15:00 IST,1.7622,2.2260999999999997
2023-08-02 09:15:00 IST,3.0,5.2261
2023-08-31 09:15:00 IST,3.0,8.226099999999999
2023-09-29 09:15:00 IST,3.0,11.226099999999999
2023-10-31 09:15:00 IST,3.0,14.226099999999999
2023-11-29 09:15:00 IST,3.0,17.2261
2023-12-28 09:15:00 IST,-1.0,16.2261
2024-01-25 09:15:00 IST,3.0,19.2261
2024-02-23 09:15:00 IST,-1.0,18.2261
2024-03-22 09:15:00 IST,3.0,21.2261
2024-04-25 09:15:00 IST,-1.0,20.2261
2024-05-24 09:15:00 IST,-1.0,19.2261
2024-06-24 09:15:00 IST,3.0,22.2261
2024-07-23 09:15:00 IST,1.8032,24.0293
2024-08-21 09:15:00 IST,-1.0,23.0293
2024-09-18 09:15:00 IST,-1.0,22.0293
2024-10-17 09:15:00 IST,-1.0,21.0293
2024-11-14 09:15:00 IST,3.0,24.0293
2024-12-16 09:15:00 IST,-1.0,23.0293
2025-01-14 09:15:00 IST,-1.0,22.0293
2025-06-11 09:15:00 IST,-1.0,21.0293
2025-07-09 09:15:00 IST,-1.0,20.0293
2025-10-06 09:15:00 IST,0.7577,20.787
2025-11-04 09:15:00 IST,-0.651,20.136
2025-12-03 09:15:00 IST,-1.0,19.136
2026-01-01 09:15:00 IST,-1.0,18.136
2026-02-01 09:15:00 IST,-1.0,17.136
2017-07-19 09:15:00 IST,3.0,20.136
2017-08-17 09:15:00 IST,3.0,23.136
2017-09-15 09:15:00 IST,3.0,26.136
2017-10-16 09:15:00 IST,3.0,29.136
2017-11-15 09:15:00 IST,3.0,32.135999999999996
2017-12-13 09:15:00 IST,3.0,35.135999999999996
2018-01-11 09:15:00 IST,3.0,38.135999999999996
2018-02-09 09:15:00 IST,0.7587,38.89469999999999
2018-03-13 09:15:00 IST,-1.0,37.89469999999999
2018-04-12 09:15:00 IST,-1.0,36.89469999999999
2018-05-11 09:15:00 IST,-1.0,35.89469999999999
2018-06-08 09:15:00 IST,3.0,38.89469999999999
2018-07-06 09:15:00 IST,3.0,41.89469999999999
2018-08-03 09:15:00 IST,-1.0,40.89469999999999
2018-09-04 09:15:00 IST,-1.0,39.89469999999999
2018-10-05 09:15:00 IST,-1.0,38.89469999999999
2018-12-06 09:15:00 IST,-1.0,37.89469999999999
2019-03-01 09:15:00 IST,-0.5202,37.37449999999999
2019-04-02 09:15:00 IST,-1.0,36.37449999999999
2019-05-06 09:15:00 IST,-1.0,35.37449999999999
2019-06-03 09:15:00 IST,-1.0,34.37449999999999
2019-07-02 09:15:00 IST,-1.0,33.37449999999999
2019-10-31 09:15:00 IST,-1.0,32.37449999999999
2019-11-29 09:15:00 IST,-1.0,31.37449999999999
2020-01-27 09:15:00 IST,-1.0,30.37449999999999
2020-07-22 09:15:00 IST,-1.0,29.37449999999999
2020-08-19 09:15:00 IST,-1.0,28.37449999999999
2020-11-12 09:15:00 IST,-1.0,27.37449999999999
2020-12-11 09:15:00 IST,-1.0,26.37449999999999
2021-01-11 09:15:00 IST,-1.0,25.37449999999999
2021-02-09 09:15:00 IST,3.0,28.37449999999999
2021-03-09 09:15:00 IST,-1.0,27.37449999999999
2021-04-09 09:15:00 IST,-1.0,26.37449999999999
2021-05-11 09:15:00 IST,-1.0,25.37449999999999
2021-06-09 09:15:00 IST,-1.0,24.37449999999999
2021-07-07 09:15:00 IST,0.5805,24.95499999999999
2021-08-05 09:15:00 IST,0.2611,25.21609999999999
2021-09-03 09:15:00 IST,0.3722,25.58829999999999
2021-10-04 09:15:00 IST,-1.0,24.58829999999999
2021-11-02 09:15:00 IST,-1.0,23.58829999999999
2022-07-22 09:15:00 IST,0.0639,23.65219999999999
2022-09-21 09:15:00 IST,0.1862,23.83839999999999
2022-10-20 09:15:00 IST,-1.0,22.83839999999999
2022-11-21 09:15:00 IST,-1.0,21.83839999999999
2022-12-19 09:15:00 IST,-0.0478,21.79059999999999
2023-01-16 09:15:00 IST,1.4654,23.25599999999999
2023-02-14 09:15:00 IST,3.0,26.25599999999999
2023-03-15 09:15:00 IST,3.0,29.25599999999999
2023-05-17 09:15:00 IST,3.0,32.255999999999986
2023-06-14 09:15:00 IST,0.517,32.77299999999999
2023-07-13 09:15:00 IST,0.8171,33.59009999999999
2023-08-10 09:15:00 IST,1.4398,35.02989999999999
2023-09-08 09:15:00 IST,-1.0,34.02989999999999
2023-10-10 09:15:00 IST,3.0,37.02989999999999
2023-11-08 09:15:00 IST,3.0,40.02989999999999
2023-12-07 09:15:00 IST,3.0,43.02989999999999
