regime,system_type,N,win_rate_pct,mean_R,ci_95_low,ci_95_high,p_value_vs_naive,cohen_d,max_drawdown_R,median_holding_period
BULL,FULL_SCANNER,30647,35.08,0.2819,0.2618,0.3019,0.9833,0.0002,48.32,20
BULL,NAIVE_BASELINE,31365,35.02,0.2816,0.2617,0.3012,1.0,0.0,48.78,20
BEAR,FULL_SCANNER,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
BEAR,NAIVE_BASELINE,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
SIDEWAYS,FULL_SCANNER,6152,35.45,0.2121,0.1691,0.2543,0.7175,0.0065,42.41,29
SIDEWAYS,NAIVE_BASELINE,6736,34.86,0.201,0.1594,0.2419,1.0,0.0,46.41,27
OVERALL,FULL_SCANNER,36799,35.14,0.2702,0.2525,0.2886,0.8168,0.0016,64.86,22
OVERALL,NAIVE_BASELINE,38101,34.99,0.2673,0.2495,0.285,1.0,0.0,66.86,21
