scanner,gate_component,full_mean_R,ablated_mean_R,delta_mean_R,p_value,cohen_d,action_recommendation
PULLBACK,GATE_UPTREND,0.1296,0.1139,0.0157,0.2884,0.0135,MARGINAL
PULLBACK,GATE_PULLBACK_ZONE,0.1296,0.1139,0.0157,0.286,0.0135,MARGINAL
PULLBACK,GATE_VOL_DRYUP,0.1296,0.1139,0.0157,0.2995,0.0135,MARGINAL
