regime,r_multiple
SIDEWAYS,-0.3170303486330567
SIDEWAYS,0.4071548571993285
SIDEWAYS,-0.6509216589861747
SIDEWAYS,-0.9999999999999991
SIDEWAYS,1.9999999999999987
SIDEWAYS,-0.9999999999999996
SIDEWAYS,-0.9999999999999992
SIDEWAYS,0.6085753803596122
SIDEWAYS,-0.9999999999999997
SIDEWAYS,-1.0000000000000009
SIDEWAYS,0.69466371960846
SIDEWAYS,-1.0000000000000009
BULL,1.9999999999999998
BULL,1.9999999999999993
BULL,-1.0000000000000018
BULL,-1.0000000000000009
BULL,2.0000000000000013
BULL,-1.0
BULL,-0.8437771435661994
BULL,-0.9999999999999996
BULL,-0.9999999999999988
BULL,-0.9999999999999988
BULL,1.9999999999999993
BULL,1.2099450519558241
BULL,-1.0000000000000004
BULL,-1.0000000000000009
SIDEWAYS,0.6011608623548924
SIDEWAYS,0.7384803173634413
SIDEWAYS,0.1642451042324715
BULL,-1.0
BULL,-1.0000000000000007
BULL,-1.0000000000000009
SIDEWAYS,2.0000000000000018
SIDEWAYS,-1.0000000000000016
SIDEWAYS,-1.0000000000000016
SIDEWAYS,1.9999999999999993
SIDEWAYS,1.999999999999998
SIDEWAYS,0.3690734256016903
SIDEWAYS,0.3234726352585172
SIDEWAYS,-0.7804878048780493
BULL,-1.0000000000000018
BULL,-1.0000000000000018
BULL,-0.999999999999998
BULL,1.9999999999999978
BULL,2.000000000000001
BULL,1.999999999999999
BULL,1.9999999999999998
BULL,-1.0
BULL,-0.9999999999999988
BULL,2.0
BULL,1.9999999999999993
BULL,-1.000000000000001
BULL,1.9999999999999991
BULL,-1.0000000000000009
BULL,2.0000000000000004
BULL,2.000000000000001
BULL,1.9999999999999984
BULL,0.009543122986997854
BULL,2.0000000000000004
BULL,-0.9999999999999991
BULL,-0.9999999999999983
BULL,0.9070520807376011
BULL,1.1200163148771265
BULL,0.8675176601809391
BULL,0.9860373161991863
BULL,0.8211882838384451
BULL,0.7371247254088384
SIDEWAYS,-1.0
SIDEWAYS,-1.0000000000000007
SIDEWAYS,-0.9999999999999997
SIDEWAYS,0.5294006428436376
SIDEWAYS,-0.9999999999999986
SIDEWAYS,-0.06716731190820299
BULL,-1.0000000000000007
BULL,-0.9999999999999997
BULL,-1.000000000000002
BULL,-0.9999999999999974
BULL,-0.9999999999999981
BULL,-0.9999999999999984
BULL,-0.9999999999999988
SIDEWAYS,-1.0000000000000007
SIDEWAYS,-1.0000000000000024
BULL,0.3578262533486423
BULL,-0.999999999999999
BULL,-1.000000000000001
SIDEWAYS,2.000000000000001
SIDEWAYS,2.000000000000001
SIDEWAYS,-0.9999999999999988
SIDEWAYS,-0.9999999999999991
SIDEWAYS,2.0000000000000013
SIDEWAYS,1.999999999999998
SIDEWAYS,-0.9999999999999988
SIDEWAYS,0.717819803050513
SIDEWAYS,1.999999999999998
SIDEWAYS,-1.0
SIDEWAYS,-0.9999999999999992
BULL,0.48833334508341353
BULL,-0.41947524576491385
BULL,1.9999999999999982
BULL,-1.0000000000000004
BULL,1.9999999999999993
BULL,2.0000000000000013
BULL,-0.9999999999999989
BULL,-1.0000000000000004
BULL,1.9999999999999984
BULL,2.0
BULL,0.4834125649713648
BULL,0.4450871812760088
BULL,0.730473628062345
BULL,-0.999999999999999
BULL,-1.0000000000000016
BULL,-0.9999999999999987
BULL,-0.9999999999999976
SIDEWAYS,-0.9999999999999981
SIDEWAYS,-1.0000000000000016
SIDEWAYS,-0.9999999999999977
SIDEWAYS,1.9999999999999976
SIDEWAYS,2.000000000000002
SIDEWAYS,0.9428922949298918
SIDEWAYS,-0.999999999999999
SIDEWAYS,-0.9999999999999989
BULL,-1.0
SIDEWAYS,-1.0000000000000004
SIDEWAYS,2.0000000000000027
SIDEWAYS,1.999999999999998
BULL,-1.0000000000000009
SIDEWAYS,1.1299656082630876
SIDEWAYS,1.9999999999999991
SIDEWAYS,1.999999999999998
SIDEWAYS,0.431967580777379
SIDEWAYS,-0.571181119411066
SIDEWAYS,-1.0000000000000002
SIDEWAYS,-0.9999999999999999
SIDEWAYS,1.9999999999999998
SIDEWAYS,1.9999999999999982
SIDEWAYS,1.7885697544329409
SIDEWAYS,-1.000000000000001
SIDEWAYS,-1.000000000000001
SIDEWAYS,-0.9999999999999996
BULL,2.0
BULL,2.000000000000001
BULL,1.9999999999999991
BULL,1.9999999999999993
BULL,2.0
BULL,2.0
BULL,1.9999999999999984
BULL,1.3369504198543953
BULL,2.0
BULL,-1.0
BULL,-1.0000000000000009
BULL,-0.9999999999999987
BULL,-1.0000000000000018
BULL,-1.0000000000000013
BULL,-1.0000000000000004
BULL,-1.0
SIDEWAYS,-1.0000000000000004
SIDEWAYS,0.60071242815621
SIDEWAYS,-1.0000000000000016
SIDEWAYS,-1.0000000000000002
BULL,-0.9999999999999988
BULL,-1.0000000000000009
BULL,-1.000000000000001
BULL,-1.0000000000000004
BULL,-1.0000000000000022
SIDEWAYS,1.0291735409491227
BULL,2.0000000000000013
BULL,1.9999999999999987
BULL,2.0000000000000013
BULL,1.9999999999999993
BULL,0.5110007097232072
BULL,-1.0000000000000016
BULL,-0.9999999999999996
BULL,-0.9999999999999987
BULL,1.6658442155367144
BULL,1.999999999999998
BULL,1.4997937683074312
BULL,-0.3214682000911984
BULL,-1.0000000000000013
BULL,-1.0000000000000004
BULL,-1.0000000000000009
BULL,-1.0000000000000002
SIDEWAYS,1.999999999999997
SIDEWAYS,-0.9999999999999989
SIDEWAYS,-0.9999999999999991
SIDEWAYS,0.5354089635997608
SIDEWAYS,0.9214554292658514
BULL,0.9353223981417808
BULL,-0.6958345819598428
BULL,-0.9999999999999986
BULL,-1.0000000000000029
SIDEWAYS,-0.13720067742834477
SIDEWAYS,-1.0
SIDEWAYS,-1.0
BULL,2.0
BULL,-0.36058700209643607
BULL,-1.0
BULL,-1.0
BULL,-1.0
BULL,-1.0
SIDEWAYS,-1.0
SIDEWAYS,-1.0
BULL,2.0
BULL,2.0
BULL,1.9999999999999993
BULL,-1.0000000000000002
BULL,-1.0
BULL,-1.0000000000000002
SIDEWAYS,-1.0
SIDEWAYS,-1.0
SIDEWAYS,-1.0000000000000002
BULL,1.9999999999999984
BULL,1.9999999999999987
BULL,-0.22330623306232977
BULL,-0.858085808580859
BULL,-1.0000000000000029
BULL,-1.0000000000000013
SIDEWAYS,0.9496257519401212
SIDEWAYS,0.1412675374939539
SIDEWAYS,-1.0000000000000004
SIDEWAYS,2.0000000000000013
SIDEWAYS,-1.0000000000000002
