regime,system_type,N,win_rate_pct,mean_R,ci_95_low,ci_95_high,p_value_vs_naive,cohen_d,gate5_pass
BULL,FULL_SCANNER,20425,43.53,0.1518,0.134,0.1703,0.7725,0.0019,PASS
BULL,NAIVE_BASELINE,48131,43.73,0.1494,0.1378,0.1609,1.0,0.0,N/A
BEAR,FULL_SCANNER,0,0.0,0.0,0.0,0.0,1.0,0.0,UNDERPOWERED
BEAR,NAIVE_BASELINE,0,0.0,0.0,0.0,0.0,1.0,0.0,N/A
SIDEWAYS,FULL_SCANNER,0,0.0,0.0,0.0,0.0,1.0,0.0,UNDERPOWERED
SIDEWAYS,NAIVE_BASELINE,26415,42.13,0.0823,0.067,0.0972,1.0,0.0,N/A
OVERALL,FULL_SCANNER,20425,43.53,0.1518,0.1337,0.1699,0.0019,0.0203,PASS
OVERALL,NAIVE_BASELINE,74546,43.16,0.1256,0.1166,0.1349,1.0,0.0,N/A
