scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_20d_high,gate_vol_surge,gate_rsi_corridor,gate_candle_struct,gate_atr_tightness,gate_52w_prox,naive_baseline_fired,data_source_flags
EOD,FINPIPE,2024-01-05 15:30:00 IST,BULL,2024-01-05 09:15:00 IST,237.35,227.0,252.88,258.06,263.23,268.41,2024-01-17 15:30:00 IST,227.0,STOP_LOSS,-1.0,8,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FINPIPE,2024-03-26 15:30:00 IST,BULL,2024-03-26 09:15:00 IST,244.75,230.08,266.76,274.09,281.42,288.76,2024-04-09 15:30:00 IST,258.6,TIME_EXPIRY,0.9441,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FMGOETZE,2018-06-22 15:30:00 IST,BULL,2018-06-22 09:15:00 IST,446.0,423.76,479.36,490.48,501.6,512.72,2018-06-27 15:30:00 IST,423.76,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FMGOETZE,2022-07-22 15:30:00 IST,BULL,2022-07-22 09:15:00 IST,297.35,289.22,309.54,313.6,317.67,321.73,2022-07-26 15:30:00 IST,289.22,STOP_LOSS,-1.0,2,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FMGOETZE,2025-11-13 15:30:00 IST,BULL,2025-11-13 09:15:00 IST,532.2,498.14,583.29,600.32,617.35,634.38,2025-11-24 15:30:00 IST,498.14,STOP_LOSS,-1.0,7,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FORCEMOT,2019-12-26 15:30:00 IST,BULL,2019-12-26 09:15:00 IST,1096.5,1047.84,1169.5,1193.83,1218.16,1242.49,2020-01-06 15:30:00 IST,1193.83,TARGET,2.0,7,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FORCEMOT,2023-05-15 15:30:00 IST,BULL,2023-05-15 09:15:00 IST,1407.2,1353.05,1488.42,1515.49,1542.57,1569.64,2023-05-29 15:30:00 IST,1432.25,TIME_EXPIRY,0.4626,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FORCEMOT,2024-07-30 15:30:00 IST,BULL,2024-07-30 09:15:00 IST,9486.85,9046.75,10146.99,10367.04,10587.09,10807.14,2024-08-02 15:30:00 IST,9046.75,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FORCEMOT,2025-07-09 15:30:00 IST,BULL,2025-07-09 09:15:00 IST,16719.0,15464.62,18600.56,19227.75,19854.94,20482.12,2025-07-23 15:30:00 IST,17140.0,TIME_EXPIRY,0.3356,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FORTIS,2019-10-31 15:30:00 IST,BULL,2019-10-31 09:15:00 IST,146.8,140.78,155.83,158.84,161.85,164.86,2019-11-11 15:30:00 IST,158.84,TARGET,2.0,7,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FORTIS,2022-08-16 15:30:00 IST,BULL,2022-08-16 09:15:00 IST,292.25,277.0,315.13,322.76,330.39,338.02,2022-08-30 15:30:00 IST,294.3,TIME_EXPIRY,0.1344,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FORTIS,2022-09-14 15:30:00 IST,BULL,2022-09-14 09:15:00 IST,307.7,294.57,327.39,333.96,340.52,347.09,2022-09-19 15:30:00 IST,294.57,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FORTIS,2025-05-22 15:30:00 IST,BULL,2025-05-22 09:15:00 IST,723.8,685.3,781.55,800.8,820.05,839.3,2025-06-05 15:30:00 IST,754.75,TIME_EXPIRY,0.8039,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,FORTIS,2025-07-24 15:30:00 IST,BULL,2025-07-24 09:15:00 IST,846.55,815.07,893.77,909.51,925.25,940.99,2025-08-07 15:30:00 IST,884.0,TIME_EXPIRY,1.1896,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
