scanner,gate_component,full_mean_R,ablated_mean_R,delta_mean_R,p_value,cohen_d,action_recommendation
EOD,GATE_20D_HIGH,0.086,0.077,0.009,0.7732,0.0073,MARGINAL
EOD,GATE_VOL_SURGE,0.086,0.077,0.009,0.7736,0.0073,MARGINAL
EOD,GATE_RSI_CORRIDOR,0.086,0.077,0.009,0.7689,0.0073,MARGINAL
EOD,GATE_CANDLE_STRUCT,0.086,0.077,0.009,0.7743,0.0073,MARGINAL
EOD,GATE_ATR_TIGHTNESS,0.086,0.077,0.009,0.7658,0.0073,MARGINAL
EOD,GATE_52W_PROX,0.086,0.077,0.009,0.772,0.0073,MARGINAL
